tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,6,7,223.3930460847321,0,0,0,0,0,0,0
1,2,1,121.07653385995462,0,0,0,0,0,0,0
2,12,7,125.07381850457503,0,0,0,0,0,0,0
3,14,15,230.9270672392597,0,0,0,0,0,0,0
4,9,8,102.89129239662542,0,0,0,0,0,0,0
5,14,1,133.40846614677878,0,0,0,0,0,0,0
6,0,11,194.154158133005,0,0,0,0,0,0,0
7,8,9,131.0781487101888,0,0,0,0,0,0,0
8,18,15,131.10260446276394,0,0,0,0,0,0,0
9,13,17,139.0243455248218,0,0,0,0,0,0,0
