LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,10,1433,0,0,0,0,0
1,0,3,1727,0,0,0,0,0
2,0,6,1562,0,0,0,0,0
3,1,3,1829,0,0,0,0,0
4,1,6,1193,0,0,0,0,0
5,2,10,1460,0,0,0,0,0
6,2,15,1428,0,0,0,0,0
7,3,8,1510,0,0,0,0,0
8,3,16,1867,0,0,0,0,0
9,4,5,1555,0,0,0,0,0
10,4,7,1780,0,0,0,0,0
11,6,7,1598,0,0,0,0,0
12,9,16,1162,0,0,0,0,0
13,9,15,1579,0,0,0,0,0
14,11,12,1554,0,0,0,0,0
15,11,13,1380,0,0,0,0,0
16,12,14,1443,0,0,0,0,0
17,13,18,1489,0,0,0,0,0
18,13,14,1165,0,0,0,0,0
19,13,15,1397,0,0,0,0,0
20,14,16,1569,0,0,0,0,0
21,14,17,1206,0,0,0,0,0
22,15,16,1608,0,0,0,0,0
23,17,18,1117,0,0,0,0,0
