tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,9,6,221.24866016621536,0,0,0,0,0,0,0
1,6,4,202.4406470208396,0,0,0,0,0,0,0
2,8,5,133.66251126513703,0,0,0,0,0,0,0
3,10,0,174.34385123400543,0,0,0,0,0,0,0
4,3,5,157.98408435303668,0,0,0,0,0,0,0
5,9,7,227.93879388953786,0,0,0,0,0,0,0
6,7,1,135.35023039042267,0,0,0,0,0,0,0
7,5,10,124.39733943167047,0,0,0,0,0,0,0
8,0,8,125.7060802861593,0,0,0,0,0,0,0
9,1,2,152.88021801683064,0,0,0,0,0,0,0
10,1,4,130.10086763807658,0,0,0,0,0,0,0
11,5,6,145.55031938936546,0,0,0,0,0,0,0
12,1,4,112.60495220792828,0,0,0,0,0,0,0
13,1,0,221.84781670282132,0,0,0,0,0,0,0
14,10,7,205.57433075791556,0,0,0,0,0,0,0
15,3,7,172.0051133613586,0,0,0,0,0,0,0
16,4,10,225.69925211824878,0,0,0,0,0,0,0
17,10,9,229.87036994354835,0,0,0,0,0,0,0
18,6,9,173.60803363789216,0,0,0,0,0,0,0
19,4,7,222.73972544281906,0,0,0,0,0,0,0
20,1,10,194.12377903507942,0,0,0,0,0,0,0
21,3,0,110.98407364585508,0,0,0,0,0,0,0
22,8,10,212.44734763620065,0,0,0,0,0,0,0
23,6,5,102.52750665021132,0,0,0,0,0,0,0
24,10,8,152.5965687684942,0,0,0,0,0,0,0
25,9,1,143.8006471537738,0,0,0,0,0,0,0
26,10,6,124.83709861767207,0,0,0,0,0,0,0
27,2,5,179.62030328118823,0,0,0,0,0,0,0
28,1,10,214.90993342256508,0,0,0,0,0,0,0
29,0,8,220.57942768476778,0,0,0,0,0,0,0
30,6,4,168.58507253330447,0,0,0,0,0,0,0
31,6,0,118.57083745102987,0,0,0,0,0,0,0
32,10,9,174.31694305263187,0,0,0,0,0,0,0
33,5,3,231.55609714713682,0,0,0,0,0,0,0
34,1,7,102.38563638402334,0,0,0,0,0,0,0
35,3,8,179.64103533542288,0,0,0,0,0,0,0
36,9,10,199.93742987375134,0,0,0,0,0,0,0
37,5,7,162.53439168593158,0,0,0,0,0,0,0
38,1,4,180.7529035012077,0,0,0,0,0,0,0
39,8,2,123.52001720164361,0,0,0,0,0,0,0
40,8,4,106.17790497727562,0,0,0,0,0,0,0
41,4,2,114.5647206791705,0,0,0,0,0,0,0
42,0,7,101.52593653082283,0,0,0,0,0,0,0
43,4,6,202.92599375989508,0,0,0,0,0,0,0
44,10,8,155.55576481418424,0,0,0,0,0,0,0
45,5,8,128.88869381221926,0,0,0,0,0,0,0
46,10,2,179.71373371579438,0,0,0,0,0,0,0
47,9,5,198.60653040286957,0,0,0,0,0,0,0
48,5,8,174.51676567384004,0,0,0,0,0,0,0
49,1,3,138.90432474237087,0,0,0,0,0,0,0
50,3,4,183.1712111635461,0,0,0,0,0,0,0
51,4,2,214.5938639208132,0,0,0,0,0,0,0
52,8,5,144.38305017548316,0,0,0,0,0,0,0
53,5,10,201.97065936155576,0,0,0,0,0,0,0
54,4,1,139.8846609874701,0,0,0,0,0,0,0
55,1,10,166.63611771614143,0,0,0,0,0,0,0
56,1,2,151.37280151956995,0,0,0,0,0,0,0
57,3,2,113.57681139897764,0,0,0,0,0,0,0
58,1,2,179.1531052153449,0,0,0,0,0,0,0
59,9,6,159.15564376085536,0,0,0,0,0,0,0
60,10,7,174.27435878227746,0,0,0,0,0,0,0
61,10,2,149.511228527068,0,0,0,0,0,0,0
62,5,2,173.26035963581597,0,0,0,0,0,0,0
63,7,4,145.70674399119673,0,0,0,0,0,0,0
64,10,3,217.0930422202104,0,0,0,0,0,0,0
65,0,9,113.62313521959172,0,0,0,0,0,0,0
66,8,3,112.34058658849592,0,0,0,0,0,0,0
67,8,9,144.82548524356963,0,0,0,0,0,0,0
68,7,6,137.08978274640793,0,0,0,0,0,0,0
69,9,0,181.40174393580878,0,0,0,0,0,0,0
70,4,3,212.06828198070195,0,0,0,0,0,0,0
71,7,8,231.41346412862245,0,0,0,0,0,0,0
72,1,3,180.0843629032161,0,0,0,0,0,0,0
73,2,4,151.4288411534361,0,0,0,0,0,0,0
74,4,6,161.03390276649074,0,0,0,0,0,0,0
75,10,9,109.46223222915016,0,0,0,0,0,0,0
76,7,5,201.05699468461677,0,0,0,0,0,0,0
77,3,2,113.72009220869572,0,0,0,0,0,0,0
78,5,9,224.28489731160244,0,0,0,0,0,0,0
79,1,0,189.2548853656936,0,0,0,0,0,0,0
