LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,2,1965,0,0,0,0,0
1,0,4,1744,0,0,0,0,0
2,0,5,1610,0,0,0,0,0
3,0,7,1352,0,0,0,0,0
4,1,8,1937,0,0,0,0,0
5,1,6,1206,0,0,0,0,0
6,1,4,1539,0,0,0,0,0
7,1,5,1619,0,0,0,0,0
8,1,22,1788,0,0,0,0,0
9,2,10,1385,0,0,0,0,0
10,2,3,1378,0,0,0,0,0
11,3,10,1311,0,0,0,0,0
12,5,12,1534,0,0,0,0,0
13,5,8,1345,0,0,0,0,0
14,6,7,1774,0,0,0,0,0
15,8,9,1412,0,0,0,0,0
16,9,12,1007,0,0,0,0,0
17,10,20,1961,0,0,0,0,0
18,10,13,1907,0,0,0,0,0
19,10,14,1006,0,0,0,0,0
20,11,13,1080,0,0,0,0,0
21,11,22,1211,0,0,0,0,0
22,11,21,1432,0,0,0,0,0
23,13,14,1834,0,0,0,0,0
24,15,16,1619,0,0,0,0,0
25,15,22,1013,0,0,0,0,0
26,16,18,1556,0,0,0,0,0
27,17,18,1368,0,0,0,0,0
28,18,19,1239,0,0,0,0,0
29,18,21,1125,0,0,0,0,0
30,19,20,1459,0,0,0,0,0
