tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,0,7,207.2117261423149,0,0,0,0,0,0,0
1,13,14,188.4848759776684,0,0,0,0,0,0,0
2,8,20,149.62728481122645,0,0,0,0,0,0,0
3,11,8,187.60237369027104,0,0,0,0,0,0,0
4,20,9,220.53670191214724,0,0,0,0,0,0,0
5,8,20,187.51400713550458,0,0,0,0,0,0,0
6,4,7,143.50844963012534,0,0,0,0,0,0,0
7,22,9,128.0551218227688,0,0,0,0,0,0,0
8,11,5,169.12252992669397,0,0,0,0,0,0,0
9,9,5,124.99166778113198,0,0,0,0,0,0,0
10,10,20,121.48824219487958,0,0,0,0,0,0,0
11,8,1,169.596451495362,0,0,0,0,0,0,0
12,8,5,104.7356980227059,0,0,0,0,0,0,0
13,18,8,101.24523688423237,0,0,0,0,0,0,0
14,1,9,205.05395283990913,0,0,0,0,0,0,0
15,9,20,199.7950509736283,0,0,0,0,0,0,0
16,12,14,186.46101091406703,0,0,0,0,0,0,0
17,3,9,109.58952605054677,0,0,0,0,0,0,0
18,13,12,188.2634100846434,0,0,0,0,0,0,0
19,13,22,145.0569853309667,0,0,0,0,0,0,0
20,8,13,200.79111254960907,0,0,0,0,0,0,0
21,14,12,119.16378837305949,0,0,0,0,0,0,0
22,12,17,124.97453781515266,0,0,0,0,0,0,0
23,3,11,202.83527676687788,0,0,0,0,0,0,0
24,17,15,160.02706623728446,0,0,0,0,0,0,0
25,1,19,149.38244968440378,0,0,0,0,0,0,0
26,1,12,170.00233506719582,0,0,0,0,0,0,0
27,15,19,156.75816561557525,0,0,0,0,0,0,0
28,12,16,104.10308921827048,0,0,0,0,0,0,0
29,15,5,171.97274509348017,0,0,0,0,0,0,0
30,1,5,151.33092557769243,0,0,0,0,0,0,0
31,8,6,136.2203058823172,0,0,0,0,0,0,0
32,8,22,144.19861018955527,0,0,0,0,0,0,0
33,21,3,175.2525667421417,0,0,0,0,0,0,0
34,20,7,153.09873208547373,0,0,0,0,0,0,0
35,12,9,169.40999440094237,0,0,0,0,0,0,0
36,7,0,123.23477069946729,0,0,0,0,0,0,0
37,22,16,181.12364412449375,0,0,0,0,0,0,0
38,18,4,149.82752479278534,0,0,0,0,0,0,0
39,11,1,101.13793610252313,0,0,0,0,0,0,0
