tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,22,17,197.67643901518406,0,0,0,0,0,0,0
1,5,1,159.83612310198578,0,0,0,0,0,0,0
2,11,9,228.51793205585253,0,0,0,0,0,0,0
3,22,17,109.80714563095935,0,0,0,0,0,0,0
4,14,16,103.13461988971008,0,0,0,0,0,0,0
5,12,14,162.95524413175437,0,0,0,0,0,0,0
6,9,17,179.74981596942007,0,0,0,0,0,0,0
7,0,22,207.54336577934998,0,0,0,0,0,0,0
8,7,13,109.14225757102301,0,0,0,0,0,0,0
9,12,5,214.21939354315964,0,0,0,0,0,0,0
