LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,4,1972,0,0,0,0,0
1,0,7,1136,0,0,0,0,0
2,1,6,1998,0,0,0,0,0
3,1,7,1003,0,0,0,0,0
4,2,3,1401,0,0,0,0,0
5,2,14,1874,0,0,0,0,0
6,2,7,1841,0,0,0,0,0
7,3,14,1121,0,0,0,0,0
8,4,6,1554,0,0,0,0,0
9,4,10,1994,0,0,0,0,0
10,4,13,1300,0,0,0,0,0
11,4,14,1436,0,0,0,0,0
12,4,15,1088,0,0,0,0,0
13,4,18,1608,0,0,0,0,0
14,4,19,1730,0,0,0,0,0
15,5,10,1009,0,0,0,0,0
16,7,10,1790,0,0,0,0,0
17,7,16,1062,0,0,0,0,0
18,7,17,1480,0,0,0,0,0
19,7,20,1530,0,0,0,0,0
20,7,22,1225,0,0,0,0,0
21,8,10,1211,0,0,0,0,0
22,9,10,1434,0,0,0,0,0
23,10,11,1330,0,0,0,0,0
24,10,12,1292,0,0,0,0,0
25,13,22,1917,0,0,0,0,0
26,15,16,1900,0,0,0,0,0
27,17,18,1928,0,0,0,0,0
28,19,20,1635,0,0,0,0,0
29,19,21,1513,0,0,0,0,0
30,20,21,1868,0,0,0,0,0
