LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,3,1935,0,0,0,0,0
1,1,6,1161,0,0,0,0,0
2,2,3,1918,0,0,0,0,0
3,2,23,1393,0,0,0,0,0
4,3,6,1318,0,0,0,0,0
5,3,15,1054,0,0,0,0,0
6,4,6,1348,0,0,0,0,0
7,5,9,1265,0,0,0,0,0
8,5,6,1747,0,0,0,0,0
9,6,7,1420,0,0,0,0,0
10,7,19,1919,0,0,0,0,0
11,8,9,1503,0,0,0,0,0
12,9,10,1688,0,0,0,0,0
13,9,12,1044,0,0,0,0,0
14,9,19,1516,0,0,0,0,0
15,9,24,1416,0,0,0,0,0
16,10,11,1897,0,0,0,0,0
17,10,12,1747,0,0,0,0,0
18,10,13,1170,0,0,0,0,0
19,10,14,1870,0,0,0,0,0
20,14,17,1040,0,0,0,0,0
21,15,16,1499,0,0,0,0,0
22,15,23,1964,0,0,0,0,0
23,17,18,1558,0,0,0,0,0
24,17,19,1436,0,0,0,0,0
25,19,20,1057,0,0,0,0,0
26,19,21,1138,0,0,0,0,0
27,21,22,1853,0,0,0,0,0
28,22,23,1755,0,0,0,0,0
29,23,24,1141,0,0,0,0,0
