tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,6,0,167.38111196926104,0,0,0,0,0,0,0
1,5,3,209.36526196232822,0,0,0,0,0,0,0
2,5,6,211.04576779529907,0,0,0,0,0,0,0
3,5,7,176.99521314634046,0,0,0,0,0,0,0
4,7,4,103.71131796959925,0,0,0,0,0,0,0
5,5,9,176.26483483810495,0,0,0,0,0,0,0
6,4,9,209.00689171539193,0,0,0,0,0,0,0
7,2,4,105.5101797242248,0,0,0,0,0,0,0
8,9,3,161.45570261366544,0,0,0,0,0,0,0
9,4,0,192.12911565570676,0,0,0,0,0,0,0
