tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,11,21,111.1350366275364,0,0,0,0,0,0,0
1,18,19,112.66143098783218,0,0,0,0,0,0,0
2,17,20,192.047124403973,0,0,0,0,0,0,0
3,9,13,208.44252723071475,0,0,0,0,0,0,0
4,5,13,180.3737979459642,0,0,0,0,0,0,0
5,21,23,111.21685744532802,0,0,0,0,0,0,0
6,20,14,120.13132143285102,0,0,0,0,0,0,0
7,15,14,166.8739396243551,0,0,0,0,0,0,0
8,17,23,165.78211718496,0,0,0,0,0,0,0
9,20,8,146.76530992058505,0,0,0,0,0,0,0
