LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,5,1110,0,0,0,0,0
1,1,12,1947,0,0,0,0,0
2,2,16,1709,0,0,0,0,0
3,3,5,1468,0,0,0,0,0
4,3,15,1170,0,0,0,0,0
5,4,7,1611,0,0,0,0,0
6,5,6,1852,0,0,0,0,0
7,5,7,1396,0,0,0,0,0
8,8,24,1224,0,0,0,0,0
9,8,15,1034,0,0,0,0,0
10,9,17,1571,0,0,0,0,0
11,9,18,1883,0,0,0,0,0
12,9,19,1930,0,0,0,0,0
13,9,12,1436,0,0,0,0,0
14,10,20,1867,0,0,0,0,0
15,11,17,1124,0,0,0,0,0
16,12,13,1459,0,0,0,0,0
17,12,14,1715,0,0,0,0,0
18,12,20,1849,0,0,0,0,0
19,12,21,1918,0,0,0,0,0
20,12,24,1843,0,0,0,0,0
21,15,16,1650,0,0,0,0,0
22,21,22,1626,0,0,0,0,0
23,22,23,1025,0,0,0,0,0
