tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,6,0,197.45884395826482,0,0,0,0,0,0,0
1,10,5,130.166431685801,0,0,0,0,0,0,0
2,14,16,147.79137343000986,0,0,0,0,0,0,0
3,12,11,179.17089593977295,0,0,0,0,0,0,0
4,6,16,247.86140154023542,0,0,0,0,0,0,0
5,6,3,111.1683517969249,0,0,0,0,0,0,0
6,9,11,130.97224598906527,0,0,0,0,0,0,0
7,16,3,175.17835107674173,0,0,0,0,0,0,0
8,12,15,148.02657326885384,0,0,0,0,0,0,0
9,8,3,202.72069404660192,0,0,0,0,0,0,0
