LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1209,0,0,0,0,0
1,0,3,1771,0,0,0,0,0
2,1,3,1823,0,0,0,0,0
3,1,6,1280,0,0,0,0,0
4,1,7,1424,0,0,0,0,0
5,2,3,1805,0,0,0,0,0
6,2,9,1969,0,0,0,0,0
7,2,11,1958,0,0,0,0,0
8,4,5,1286,0,0,0,0,0
9,4,6,1087,0,0,0,0,0
10,5,17,1877,0,0,0,0,0
11,6,7,1998,0,0,0,0,0
12,7,8,1806,0,0,0,0,0
13,7,9,1263,0,0,0,0,0
14,8,9,1796,0,0,0,0,0
15,8,13,1984,0,0,0,0,0
16,8,17,1750,0,0,0,0,0
17,10,11,1287,0,0,0,0,0
18,10,12,1810,0,0,0,0,0
19,11,12,1483,0,0,0,0,0
20,12,13,1330,0,0,0,0,0
21,12,14,1407,0,0,0,0,0
22,14,15,1073,0,0,0,0,0
23,15,16,1553,0,0,0,0,0
24,15,17,1147,0,0,0,0,0
