LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,22,1919,0,0,0,0,0
1,1,22,1098,0,0,0,0,0
2,2,22,1195,0,0,0,0,0
3,3,22,1962,0,0,0,0,0
4,4,7,1121,0,0,0,0,0
5,5,8,1147,0,0,0,0,0
6,6,7,1989,0,0,0,0,0
7,7,22,1778,0,0,0,0,0
8,8,9,1194,0,0,0,0,0
9,8,10,1981,0,0,0,0,0
10,8,12,1897,0,0,0,0,0
11,8,13,1505,0,0,0,0,0
12,8,14,1038,0,0,0,0,0
13,8,15,1421,0,0,0,0,0
14,8,18,1037,0,0,0,0,0
15,8,19,1811,0,0,0,0,0
16,8,22,1795,0,0,0,0,0
17,11,22,1826,0,0,0,0,0
18,16,22,1878,0,0,0,0,0
19,17,22,1087,0,0,0,0,0
20,20,24,1771,0,0,0,0,0
21,21,22,1951,0,0,0,0,0
22,22,23,1454,0,0,0,0,0
23,22,24,1893,0,0,0,0,0
24,24,25,1917,0,0,0,0,0
25,24,26,1142,0,0,0,0,0
26,24,27,1756,0,0,0,0,0
27,24,28,1919,0,0,0,0,0
28,24,29,1335,0,0,0,0,0
