tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,0,13,215.99031923253335,0,0,0,0,0,0,0
1,7,4,192.73740924417692,0,0,0,0,0,0,0
2,26,11,159.10611587019326,0,0,0,0,0,0,0
3,23,8,165.9605755855458,0,0,0,0,0,0,0
4,9,14,203.04118138274976,0,0,0,0,0,0,0
5,14,6,173.62357737150597,0,0,0,0,0,0,0
6,1,9,165.8404501551028,0,0,0,0,0,0,0
7,18,19,110.36780016519056,0,0,0,0,0,0,0
8,0,25,181.81581492022104,0,0,0,0,0,0,0
9,12,21,160.5923326216901,0,0,0,0,0,0,0
10,14,23,195.89339346769515,0,0,0,0,0,0,0
11,15,8,177.7760469044889,0,0,0,0,0,0,0
12,25,19,172.22237760487354,0,0,0,0,0,0,0
13,11,1,141.31529134647934,0,0,0,0,0,0,0
14,19,9,169.76114520460635,0,0,0,0,0,0,0
15,20,23,113.78267364962478,0,0,0,0,0,0,0
16,7,5,172.6413202656911,0,0,0,0,0,0,0
17,3,13,163.29586106477623,0,0,0,0,0,0,0
18,16,13,109.39813477577306,0,0,0,0,0,0,0
19,12,20,182.90577611380266,0,0,0,0,0,0,0
20,4,13,138.45431786253965,0,0,0,0,0,0,0
21,3,23,163.06158390573142,0,0,0,0,0,0,0
22,3,19,135.6603931909624,0,0,0,0,0,0,0
23,29,11,197.77715074235255,0,0,0,0,0,0,0
24,12,21,199.54609028589846,0,0,0,0,0,0,0
25,4,0,140.31940400469546,0,0,0,0,0,0,0
26,28,4,195.5796395934119,0,0,0,0,0,0,0
27,6,17,203.84076886457615,0,0,0,0,0,0,0
28,3,24,164.96202410938446,0,0,0,0,0,0,0
29,25,13,161.90571036463987,0,0,0,0,0,0,0
30,8,13,123.24663646331251,0,0,0,0,0,0,0
31,3,25,117.24928264385395,0,0,0,0,0,0,0
32,25,24,122.00874310743927,0,0,0,0,0,0,0
33,8,23,126.19938895672034,0,0,0,0,0,0,0
34,19,13,172.07441259596106,0,0,0,0,0,0,0
35,22,2,174.53371807840696,0,0,0,0,0,0,0
36,23,26,102.15457654118346,0,0,0,0,0,0,0
37,10,13,178.73050017590313,0,0,0,0,0,0,0
38,17,14,222.80536006731785,0,0,0,0,0,0,0
39,19,21,183.77007524897306,0,0,0,0,0,0,0
40,19,4,133.26075680832648,0,0,0,0,0,0,0
41,27,26,126.97969845640398,0,0,0,0,0,0,0
42,21,28,111.30107453267745,0,0,0,0,0,0,0
43,1,19,215.79312586078754,0,0,0,0,0,0,0
44,4,5,219.28663913318547,0,0,0,0,0,0,0
45,27,1,168.60287291004215,0,0,0,0,0,0,0
46,14,0,226.56090494139465,0,0,0,0,0,0,0
47,27,16,211.46702484665303,0,0,0,0,0,0,0
48,16,19,136.7516614357529,0,0,0,0,0,0,0
49,11,20,140.3066955572893,0,0,0,0,0,0,0
50,10,8,214.57805672864816,0,0,0,0,0,0,0
51,17,25,192.43314673999933,0,0,0,0,0,0,0
52,19,13,131.70041388983776,0,0,0,0,0,0,0
53,27,8,191.6808404011486,0,0,0,0,0,0,0
54,18,17,222.70749984498377,0,0,0,0,0,0,0
55,16,25,150.61347663702568,0,0,0,0,0,0,0
56,22,0,145.86451141995815,0,0,0,0,0,0,0
57,15,11,187.8824943261755,0,0,0,0,0,0,0
58,9,15,234.57318432846785,0,0,0,0,0,0,0
59,27,17,193.40062718126538,0,0,0,0,0,0,0
60,26,8,235.0237396648698,0,0,0,0,0,0,0
61,18,8,112.94904484461455,0,0,0,0,0,0,0
62,15,3,227.48768979420896,0,0,0,0,0,0,0
63,27,11,199.44194124716626,0,0,0,0,0,0,0
64,10,23,176.47708191662292,0,0,0,0,0,0,0
65,16,28,112.81023811598544,0,0,0,0,0,0,0
66,18,11,204.54952653710427,0,0,0,0,0,0,0
67,11,23,136.41778806039355,0,0,0,0,0,0,0
68,0,10,119.93507998759092,0,0,0,0,0,0,0
69,26,16,191.22561642820693,0,0,0,0,0,0,0
70,11,25,216.51060329406283,0,0,0,0,0,0,0
71,22,10,184.78782947447564,0,0,0,0,0,0,0
72,26,27,101.1696776182193,0,0,0,0,0,0,0
73,12,5,117.25808534514267,0,0,0,0,0,0,0
74,27,20,139.81923743729604,0,0,0,0,0,0,0
75,4,14,194.69292781883325,0,0,0,0,0,0,0
76,3,18,216.09547009270443,0,0,0,0,0,0,0
77,3,15,174.18123885169808,0,0,0,0,0,0,0
78,29,15,171.8821331897679,0,0,0,0,0,0,0
79,6,12,119.21702415232755,0,0,0,0,0,0,0
