tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,2,0,225.38285161791367,0,0,0,0,0,0,0
1,1,0,109.82322010421512,0,0,0,0,0,0,0
2,1,3,194.18732332092054,0,0,0,0,0,0,0
3,2,0,205.1335715264618,0,0,0,0,0,0,0
4,2,0,148.11064073296714,0,0,0,0,0,0,0
5,2,0,187.11326413640495,0,0,0,0,0,0,0
6,1,2,102.29994772745192,0,0,0,0,0,0,0
7,3,0,198.25134784075362,0,0,0,0,0,0,0
8,3,1,148.13617449663553,0,0,0,0,0,0,0
9,0,2,177.54879619988543,0,0,0,0,0,0,0
10,1,3,161.79882990526497,0,0,0,0,0,0,0
11,0,1,135.66537200182205,0,0,0,0,0,0,0
12,0,3,188.2945349094009,0,0,0,0,0,0,0
13,3,1,171.2557147144821,0,0,0,0,0,0,0
14,0,2,108.04950102855327,0,0,0,0,0,0,0
15,3,2,158.1219712174274,0,0,0,0,0,0,0
16,1,3,214.6734949405292,0,0,0,0,0,0,0
17,3,0,109.48493025778072,0,0,0,0,0,0,0
18,0,3,122.96695489478984,0,0,0,0,0,0,0
19,1,0,176.01015916024505,0,0,0,0,0,0,0
20,0,1,198.58410437379086,0,0,0,0,0,0,0
21,2,0,190.01562500508686,0,0,0,0,0,0,0
22,1,2,216.4757530376512,0,0,0,0,0,0,0
23,3,1,111.445511451375,0,0,0,0,0,0,0
24,0,3,135.01954543727646,0,0,0,0,0,0,0
25,2,3,161.7912826686898,0,0,0,0,0,0,0
26,3,2,195.41511211894436,0,0,0,0,0,0,0
27,0,1,128.79497148617077,0,0,0,0,0,0,0
28,3,2,205.35963414833418,0,0,0,0,0,0,0
29,2,3,137.5381846152963,0,0,0,0,0,0,0
30,3,1,172.35223303399061,0,0,0,0,0,0,0
31,3,2,120.39677883330701,0,0,0,0,0,0,0
32,3,0,162.35298236355604,0,0,0,0,0,0,0
33,3,0,145.446541134859,0,0,0,0,0,0,0
34,0,2,165.6638656520792,0,0,0,0,0,0,0
35,0,2,153.8584038090468,0,0,0,0,0,0,0
36,1,0,208.43792455514247,0,0,0,0,0,0,0
37,1,2,211.47993837445176,0,0,0,0,0,0,0
38,0,1,127.52242182491385,0,0,0,0,0,0,0
39,2,3,122.40498022623677,0,0,0,0,0,0,0
