tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,10,19,107.59766482682997,0,0,0,0,0,0,0
1,7,12,107.71135620340496,0,0,0,0,0,0,0
2,4,3,145.5231183249791,0,0,0,0,0,0,0
3,17,12,218.08564102979506,0,0,0,0,0,0,0
4,17,9,104.32882751053494,0,0,0,0,0,0,0
5,20,2,165.09030377061288,0,0,0,0,0,0,0
6,1,8,141.0553138201507,0,0,0,0,0,0,0
7,4,14,117.49012862141576,0,0,0,0,0,0,0
8,7,20,186.87383832728557,0,0,0,0,0,0,0
9,12,15,165.5312478943746,0,0,0,0,0,0,0
10,8,14,180.9140219508654,0,0,0,0,0,0,0
11,0,1,111.70212794870875,0,0,0,0,0,0,0
12,19,3,112.81922655628843,0,0,0,0,0,0,0
13,12,8,161.65098825051643,0,0,0,0,0,0,0
14,8,15,180.75898806146625,0,0,0,0,0,0,0
15,5,15,149.32383439116558,0,0,0,0,0,0,0
16,5,20,189.43315987970612,0,0,0,0,0,0,0
17,9,17,191.55360689679156,0,0,0,0,0,0,0
18,2,11,165.49374389118785,0,0,0,0,0,0,0
19,7,14,125.44979743026394,0,0,0,0,0,0,0
20,19,20,193.59068105634876,0,0,0,0,0,0,0
21,12,10,175.84238458244425,0,0,0,0,0,0,0
22,8,5,222.95164278334838,0,0,0,0,0,0,0
23,17,9,150.13224299241134,0,0,0,0,0,0,0
24,4,14,181.34631679740414,0,0,0,0,0,0,0
25,10,16,203.7375394263641,0,0,0,0,0,0,0
26,20,13,170.9900813575062,0,0,0,0,0,0,0
27,13,2,101.2326121830323,0,0,0,0,0,0,0
28,12,1,193.5981974447784,0,0,0,0,0,0,0
29,0,5,123.6379022569003,0,0,0,0,0,0,0
30,8,9,203.69493779503367,0,0,0,0,0,0,0
31,20,19,128.02001216895317,0,0,0,0,0,0,0
32,12,17,146.50878903483527,0,0,0,0,0,0,0
33,20,4,125.35142813940556,0,0,0,0,0,0,0
34,0,17,154.0733874704879,0,0,0,0,0,0,0
35,13,12,155.9906261253634,0,0,0,0,0,0,0
36,3,13,118.81980492190773,0,0,0,0,0,0,0
37,16,17,179.45940943407197,0,0,0,0,0,0,0
38,0,13,125.21521309208475,0,0,0,0,0,0,0
39,7,9,146.59748062430918,0,0,0,0,0,0,0
