LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,3,1438,0,0,0,0,0
1,0,14,1885,0,0,0,0,0
2,1,6,1693,0,0,0,0,0
3,2,3,1683,0,0,0,0,0
4,2,12,1539,0,0,0,0,0
5,4,5,1664,0,0,0,0,0
6,4,7,1510,0,0,0,0,0
7,5,8,1017,0,0,0,0,0
8,6,12,1388,0,0,0,0,0
9,6,7,1505,0,0,0,0,0
10,8,9,1227,0,0,0,0,0
11,9,16,1095,0,0,0,0,0
12,10,17,1810,0,0,0,0,0
13,10,15,1265,0,0,0,0,0
14,11,16,1059,0,0,0,0,0
15,11,12,1684,0,0,0,0,0
16,11,20,1302,0,0,0,0,0
17,13,14,1919,0,0,0,0,0
18,14,15,1852,0,0,0,0,0
19,17,18,1217,0,0,0,0,0
20,18,19,1760,0,0,0,0,0
21,19,20,1050,0,0,0,0,0
