LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,3,1871,0,0,0,0,0
1,0,12,1685,0,0,0,0,0
2,1,19,1913,0,0,0,0,0
3,1,6,1926,0,0,0,0,0
4,2,3,1876,0,0,0,0,0
5,2,13,1339,0,0,0,0,0
6,4,8,1431,0,0,0,0,0
7,4,7,1396,0,0,0,0,0
8,5,8,1767,0,0,0,0,0
9,5,14,1201,0,0,0,0,0
10,6,7,1016,0,0,0,0,0
11,7,9,1433,0,0,0,0,0
12,7,19,1818,0,0,0,0,0
13,7,17,1300,0,0,0,0,0
14,8,14,1409,0,0,0,0,0
15,10,18,1797,0,0,0,0,0
16,10,19,1892,0,0,0,0,0
17,11,18,1320,0,0,0,0,0
18,11,21,1235,0,0,0,0,0
19,12,13,1156,0,0,0,0,0
20,12,21,1039,0,0,0,0,0
21,13,19,1319,0,0,0,0,0
22,14,17,1697,0,0,0,0,0
23,14,15,1260,0,0,0,0,0
24,15,16,1229,0,0,0,0,0
25,16,17,1892,0,0,0,0,0
26,17,18,1255,0,0,0,0,0
27,17,19,1341,0,0,0,0,0
