tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,12,9,173.05929232663019,0,0,0,0,0,0,0
1,3,0,124.69914838733517,0,0,0,0,0,0,0
2,21,7,195.1157219317168,0,0,0,0,0,0,0
3,9,6,107.14224349656659,0,0,0,0,0,0,0
4,7,16,203.73865892524327,0,0,0,0,0,0,0
5,21,16,143.63676897259322,0,0,0,0,0,0,0
6,16,9,118.71128262180864,0,0,0,0,0,0,0
7,19,11,201.65129501086128,0,0,0,0,0,0,0
8,3,19,111.41555418857753,0,0,0,0,0,0,0
9,9,1,130.0537386662835,0,0,0,0,0,0,0
10,13,15,164.9156465494075,0,0,0,0,0,0,0
11,18,0,211.98024132108236,0,0,0,0,0,0,0
12,4,15,182.600164443003,0,0,0,0,0,0,0
13,20,7,112.68144379563763,0,0,0,0,0,0,0
14,15,13,207.7820184234379,0,0,0,0,0,0,0
15,0,21,128.32205689157658,0,0,0,0,0,0,0
16,5,12,159.14954490871574,0,0,0,0,0,0,0
17,16,4,173.28235664311262,0,0,0,0,0,0,0
18,2,11,145.0143107721811,0,0,0,0,0,0,0
19,19,6,105.73457047298548,0,0,0,0,0,0,0
20,12,8,215.96095389913785,0,0,0,0,0,0,0
21,4,7,141.24517544605519,0,0,0,0,0,0,0
22,18,13,190.54366467919073,0,0,0,0,0,0,0
23,20,2,208.76752135501292,0,0,0,0,0,0,0
24,21,17,150.09596953751307,0,0,0,0,0,0,0
25,15,7,158.27853171540602,0,0,0,0,0,0,0
26,0,6,186.19742203080978,0,0,0,0,0,0,0
27,13,4,134.86237790959444,0,0,0,0,0,0,0
28,8,16,129.57007586289083,0,0,0,0,0,0,0
29,14,8,113.15783974679167,0,0,0,0,0,0,0
30,2,7,216.97370812944337,0,0,0,0,0,0,0
31,0,19,110.02597555815912,0,0,0,0,0,0,0
32,21,5,169.20935977674168,0,0,0,0,0,0,0
33,20,6,214.14197485229482,0,0,0,0,0,0,0
34,12,20,121.30726691563373,0,0,0,0,0,0,0
35,9,15,214.3765868674886,0,0,0,0,0,0,0
36,12,3,218.75992526505297,0,0,0,0,0,0,0
37,1,4,127.64870861993091,0,0,0,0,0,0,0
38,0,11,187.73230037606305,0,0,0,0,0,0,0
39,17,3,221.45852401658658,0,0,0,0,0,0,0
40,11,0,169.79704490355005,0,0,0,0,0,0,0
41,8,4,214.34750875173216,0,0,0,0,0,0,0
42,21,20,134.37227078021104,0,0,0,0,0,0,0
43,13,16,221.67867406309867,0,0,0,0,0,0,0
44,4,21,175.62713206497432,0,0,0,0,0,0,0
45,3,8,188.3622602366367,0,0,0,0,0,0,0
46,14,1,145.8461190396976,0,0,0,0,0,0,0
47,9,18,164.43253419796298,0,0,0,0,0,0,0
48,19,16,190.5584373195365,0,0,0,0,0,0,0
49,10,2,155.5038556158638,0,0,0,0,0,0,0
50,8,15,171.71085304024302,0,0,0,0,0,0,0
51,20,18,124.25267389894283,0,0,0,0,0,0,0
52,14,6,132.4383854373325,0,0,0,0,0,0,0
53,21,3,123.89477125826046,0,0,0,0,0,0,0
54,15,1,187.51651803197586,0,0,0,0,0,0,0
55,15,7,221.88566784627938,0,0,0,0,0,0,0
56,3,9,139.55455190983693,0,0,0,0,0,0,0
57,3,18,171.38084696628778,0,0,0,0,0,0,0
58,20,11,156.51894945736444,0,0,0,0,0,0,0
59,1,9,169.8977101111738,0,0,0,0,0,0,0
60,19,16,169.59453328170673,0,0,0,0,0,0,0
61,14,3,156.7700929903713,0,0,0,0,0,0,0
62,18,0,157.39398901996464,0,0,0,0,0,0,0
63,2,16,151.9827426508073,0,0,0,0,0,0,0
64,13,18,178.6056704456189,0,0,0,0,0,0,0
65,17,8,126.52100429717062,0,0,0,0,0,0,0
66,19,3,122.9603585547888,0,0,0,0,0,0,0
67,5,17,163.53940433463134,0,0,0,0,0,0,0
68,17,15,209.75172021264652,0,0,0,0,0,0,0
69,17,15,158.85032896136372,0,0,0,0,0,0,0
70,20,1,198.90053473141612,0,0,0,0,0,0,0
71,9,20,111.65502844358355,0,0,0,0,0,0,0
72,3,13,120.5022930337409,0,0,0,0,0,0,0
73,8,18,219.051841184726,0,0,0,0,0,0,0
74,4,2,115.71450576265386,0,0,0,0,0,0,0
75,12,0,173.9945995180231,0,0,0,0,0,0,0
76,7,2,241.39949689859318,0,0,0,0,0,0,0
77,20,10,152.463383741382,0,0,0,0,0,0,0
78,19,9,202.15490656340114,0,0,0,0,0,0,0
79,20,15,156.81651192258437,0,0,0,0,0,0,0
