tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,0,1,245.6631969292667,0,0,0,0,0,0,0
1,5,0,195.53054199118006,0,0,0,0,0,0,0
2,0,5,202.96681585212468,0,0,0,0,0,0,0
3,5,6,116.60162090871094,0,0,0,0,0,0,0
4,4,0,116.02955574415122,0,0,0,0,0,0,0
5,5,2,161.26313148595466,0,0,0,0,0,0,0
6,5,4,222.25510561197072,0,0,0,0,0,0,0
7,6,5,202.3238629717604,0,0,0,0,0,0,0
8,4,6,207.98953281975258,0,0,0,0,0,0,0
9,6,4,173.5844831094838,0,0,0,0,0,0,0
10,2,6,125.20713563301334,0,0,0,0,0,0,0
11,3,6,216.02075832698594,0,0,0,0,0,0,0
12,4,1,109.00923870918159,0,0,0,0,0,0,0
13,0,4,171.9404838514913,0,0,0,0,0,0,0
14,3,5,193.40119384937708,0,0,0,0,0,0,0
15,4,0,102.53371393763352,0,0,0,0,0,0,0
16,3,4,207.8785926099231,0,0,0,0,0,0,0
17,0,2,125.53775822561126,0,0,0,0,0,0,0
18,3,4,135.63989924289575,0,0,0,0,0,0,0
19,5,6,193.32062522830077,0,0,0,0,0,0,0
20,0,1,223.19101130009042,0,0,0,0,0,0,0
21,0,1,124.46191843860191,0,0,0,0,0,0,0
22,1,2,102.02756749632519,0,0,0,0,0,0,0
23,4,5,217.41806618878923,0,0,0,0,0,0,0
24,4,1,190.40311266834118,0,0,0,0,0,0,0
25,4,1,165.73653424710471,0,0,0,0,0,0,0
26,5,2,125.8967776787634,0,0,0,0,0,0,0
27,4,5,212.4035498452916,0,0,0,0,0,0,0
28,5,6,131.76454848295663,0,0,0,0,0,0,0
29,5,3,158.84633093773374,0,0,0,0,0,0,0
30,2,1,222.19731956519803,0,0,0,0,0,0,0
31,1,5,143.47926534617096,0,0,0,0,0,0,0
32,3,2,105.3429185976388,0,0,0,0,0,0,0
33,2,5,192.95087712268293,0,0,0,0,0,0,0
34,2,3,201.56897459502554,0,0,0,0,0,0,0
35,1,6,114.4105463470857,0,0,0,0,0,0,0
36,5,4,124.25694127780557,0,0,0,0,0,0,0
37,5,2,182.6574911524673,0,0,0,0,0,0,0
38,1,6,215.94875828513995,0,0,0,0,0,0,0
39,3,0,157.42830203675322,0,0,0,0,0,0,0
