tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,9,15,147.36976842553273,0,0,0,0,0,0,0
1,16,11,153.59981692932712,0,0,0,0,0,0,0
2,16,23,139.8747713195221,0,0,0,0,0,0,0
3,21,26,195.58801631534743,0,0,0,0,0,0,0
4,16,24,106.40978147394935,0,0,0,0,0,0,0
5,5,6,127.50562548514846,0,0,0,0,0,0,0
6,5,9,175.21110082702074,0,0,0,0,0,0,0
7,18,5,155.35102994676197,0,0,0,0,0,0,0
8,26,7,131.11135651773282,0,0,0,0,0,0,0
9,5,17,208.87065583654072,0,0,0,0,0,0,0
