LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1634,0,0,0,0,0
1,1,18,1329,0,0,0,0,0
2,1,15,1466,0,0,0,0,0
3,2,18,1843,0,0,0,0,0
4,3,18,1267,0,0,0,0,0
5,4,7,1683,0,0,0,0,0
6,5,7,1866,0,0,0,0,0
7,6,7,1842,0,0,0,0,0
8,7,8,1270,0,0,0,0,0
9,7,11,1931,0,0,0,0,0
10,8,17,1023,0,0,0,0,0
11,8,13,1298,0,0,0,0,0
12,8,9,1922,0,0,0,0,0
13,10,11,1201,0,0,0,0,0
14,11,12,1994,0,0,0,0,0
15,11,15,1783,0,0,0,0,0
16,14,15,1380,0,0,0,0,0
17,15,16,1439,0,0,0,0,0
18,15,23,1786,0,0,0,0,0
19,17,20,1336,0,0,0,0,0
20,18,24,1683,0,0,0,0,0
21,19,20,1155,0,0,0,0,0
22,20,21,1011,0,0,0,0,0
23,20,23,1972,0,0,0,0,0
24,22,23,1767,0,0,0,0,0
25,23,24,1229,0,0,0,0,0
26,24,25,1857,0,0,0,0,0
27,24,26,1535,0,0,0,0,0
