LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1230,0,0,0,0,0
1,0,2,1157,0,0,0,0,0
2,0,5,1771,0,0,0,0,0
3,1,16,1929,0,0,0,0,0
4,1,19,1194,0,0,0,0,0
5,2,24,1653,0,0,0,0,0
6,2,19,1093,0,0,0,0,0
7,3,20,1980,0,0,0,0,0
8,3,14,1829,0,0,0,0,0
9,4,16,1263,0,0,0,0,0
10,4,13,1856,0,0,0,0,0
11,5,8,1527,0,0,0,0,0
12,5,18,1353,0,0,0,0,0
13,5,7,1814,0,0,0,0,0
14,6,7,1679,0,0,0,0,0
15,8,25,1131,0,0,0,0,0
16,8,9,1149,0,0,0,0,0
17,9,17,1081,0,0,0,0,0
18,10,13,1931,0,0,0,0,0
19,11,32,1150,0,0,0,0,0
20,11,19,1345,0,0,0,0,0
21,11,12,1866,0,0,0,0,0
22,12,14,1127,0,0,0,0,0
23,13,16,1107,0,0,0,0,0
24,13,19,1629,0,0,0,0,0
25,13,15,1424,0,0,0,0,0
26,14,19,1299,0,0,0,0,0
27,14,20,1471,0,0,0,0,0
28,14,21,1394,0,0,0,0,0
29,14,22,1526,0,0,0,0,0
30,15,32,1045,0,0,0,0,0
31,15,22,1672,0,0,0,0,0
32,15,31,1856,0,0,0,0,0
33,16,30,1529,0,0,0,0,0
34,17,18,1725,0,0,0,0,0
35,19,20,1285,0,0,0,0,0
36,19,23,1794,0,0,0,0,0
37,19,24,1727,0,0,0,0,0
38,20,21,1837,0,0,0,0,0
39,21,26,1634,0,0,0,0,0
40,21,27,1940,0,0,0,0,0
41,21,22,1972,0,0,0,0,0
42,22,28,1662,0,0,0,0,0
43,22,31,1751,0,0,0,0,0
44,24,25,1946,0,0,0,0,0
45,28,29,1471,0,0,0,0,0
46,29,30,1125,0,0,0,0,0
47,30,31,1293,0,0,0,0,0
