tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,22,27,158.25083117283944,0,0,0,0,0,0,0
1,0,25,114.94716144104311,0,0,0,0,0,0,0
2,28,16,130.35228740016467,0,0,0,0,0,0,0
3,1,18,115.79357642201964,0,0,0,0,0,0,0
4,4,5,100.66460157375316,0,0,0,0,0,0,0
5,24,5,148.13608530703905,0,0,0,0,0,0,0
6,4,8,170.11409349692195,0,0,0,0,0,0,0
7,25,31,176.69952059818127,0,0,0,0,0,0,0
8,18,10,107.86777951200855,0,0,0,0,0,0,0
9,12,6,102.96086756389464,0,0,0,0,0,0,0
10,13,6,228.52702397113848,0,0,0,0,0,0,0
11,11,3,149.63011358012878,0,0,0,0,0,0,0
12,2,32,153.16975397131984,0,0,0,0,0,0,0
13,24,0,212.89911194112156,0,0,0,0,0,0,0
14,8,31,173.87423723696153,0,0,0,0,0,0,0
15,13,5,223.0423644478284,0,0,0,0,0,0,0
16,21,8,133.92222600948188,0,0,0,0,0,0,0
17,29,22,179.60633151870647,0,0,0,0,0,0,0
18,28,9,190.41610954012043,0,0,0,0,0,0,0
19,13,5,187.60750696283915,0,0,0,0,0,0,0
20,5,29,212.08907072913968,0,0,0,0,0,0,0
21,19,18,130.77952294438487,0,0,0,0,0,0,0
22,8,20,164.63824355649703,0,0,0,0,0,0,0
23,6,23,199.01366151717167,0,0,0,0,0,0,0
24,6,18,212.76912198427,0,0,0,0,0,0,0
25,15,9,170.40085965346827,0,0,0,0,0,0,0
26,11,29,110.06262186248644,0,0,0,0,0,0,0
27,13,26,188.29620466128824,0,0,0,0,0,0,0
28,7,14,109.40931122043854,0,0,0,0,0,0,0
29,18,9,212.0056214596662,0,0,0,0,0,0,0
30,31,7,194.10056768111622,0,0,0,0,0,0,0
31,24,8,123.3744927993293,0,0,0,0,0,0,0
32,2,31,206.0276823297435,0,0,0,0,0,0,0
33,10,5,201.08007522596552,0,0,0,0,0,0,0
34,12,13,163.8693831374224,0,0,0,0,0,0,0
35,27,0,141.88559885981803,0,0,0,0,0,0,0
36,2,21,126.09058795751568,0,0,0,0,0,0,0
37,10,21,212.6372200461403,0,0,0,0,0,0,0
38,22,29,215.05850447306125,0,0,0,0,0,0,0
39,18,2,135.5499248215876,0,0,0,0,0,0,0
40,9,23,238.32909144869177,0,0,0,0,0,0,0
41,13,4,230.84045625674864,0,0,0,0,0,0,0
42,25,14,167.84631538222948,0,0,0,0,0,0,0
43,15,17,140.00653446830376,0,0,0,0,0,0,0
44,17,23,134.21143727763854,0,0,0,0,0,0,0
45,0,24,112.3341220611962,0,0,0,0,0,0,0
46,17,18,142.50298193477795,0,0,0,0,0,0,0
47,1,15,176.55939163647696,0,0,0,0,0,0,0
48,13,32,172.9187382699978,0,0,0,0,0,0,0
49,20,29,126.55757221695355,0,0,0,0,0,0,0
50,17,20,115.9735735737641,0,0,0,0,0,0,0
51,31,9,145.86450475495408,0,0,0,0,0,0,0
52,18,6,185.22045475139845,0,0,0,0,0,0,0
53,26,20,226.54725576853488,0,0,0,0,0,0,0
54,13,5,221.58476097049976,0,0,0,0,0,0,0
55,4,25,115.34533112028068,0,0,0,0,0,0,0
56,20,31,195.9346692040449,0,0,0,0,0,0,0
57,6,20,167.63294712232775,0,0,0,0,0,0,0
58,22,9,107.27559145854052,0,0,0,0,0,0,0
59,22,5,111.54446019125359,0,0,0,0,0,0,0
60,28,19,216.2483859001678,0,0,0,0,0,0,0
61,11,17,163.15164833220373,0,0,0,0,0,0,0
62,18,11,104.56066906263325,0,0,0,0,0,0,0
63,6,13,155.07164697502645,0,0,0,0,0,0,0
64,7,26,179.78094318051836,0,0,0,0,0,0,0
65,27,15,154.36691005303064,0,0,0,0,0,0,0
66,21,1,118.75775735056968,0,0,0,0,0,0,0
67,3,8,128.1324277696383,0,0,0,0,0,0,0
68,14,32,178.52483833109488,0,0,0,0,0,0,0
69,1,17,104.63756451009559,0,0,0,0,0,0,0
70,21,18,208.22396039462086,0,0,0,0,0,0,0
71,27,9,176.9127456757496,0,0,0,0,0,0,0
72,29,10,128.75705685682192,0,0,0,0,0,0,0
73,13,32,177.98554808793176,0,0,0,0,0,0,0
74,11,4,215.9662922093249,0,0,0,0,0,0,0
75,19,7,219.6243083109969,0,0,0,0,0,0,0
76,1,28,140.0608176310916,0,0,0,0,0,0,0
77,2,14,137.3249658294637,0,0,0,0,0,0,0
78,19,28,153.53177195694644,0,0,0,0,0,0,0
79,19,32,189.7978425119554,0,0,0,0,0,0,0
