tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,14,0,121.22385098223793,0,0,0,0,0,0,0
1,10,8,229.41662762788096,0,0,0,0,0,0,0
2,12,25,195.52771277955836,0,0,0,0,0,0,0
3,20,5,156.10369398279707,0,0,0,0,0,0,0
4,9,2,226.27192407573665,0,0,0,0,0,0,0
5,21,11,116.09281390611837,0,0,0,0,0,0,0
6,4,27,122.3130303477453,0,0,0,0,0,0,0
7,3,19,186.17255649413556,0,0,0,0,0,0,0
8,23,20,158.86314163384066,0,0,0,0,0,0,0
9,7,20,154.09083378002316,0,0,0,0,0,0,0
10,25,17,197.06625957701925,0,0,0,0,0,0,0
11,6,27,208.17763666644458,0,0,0,0,0,0,0
12,17,6,244.61826239651873,0,0,0,0,0,0,0
13,13,25,193.7669928893348,0,0,0,0,0,0,0
14,28,18,183.3840894625444,0,0,0,0,0,0,0
15,19,28,230.8740884755771,0,0,0,0,0,0,0
16,6,24,213.67571307064765,0,0,0,0,0,0,0
17,27,5,141.63909121480287,0,0,0,0,0,0,0
18,23,22,157.3616151121374,0,0,0,0,0,0,0
19,18,13,134.3901554186598,0,0,0,0,0,0,0
20,5,27,153.93087768242762,0,0,0,0,0,0,0
21,28,16,138.64217621355675,0,0,0,0,0,0,0
22,24,17,155.5103749819155,0,0,0,0,0,0,0
23,15,13,214.60257129667008,0,0,0,0,0,0,0
24,11,0,146.4198095545521,0,0,0,0,0,0,0
25,28,22,105.89195454843873,0,0,0,0,0,0,0
26,22,5,204.10622852900153,0,0,0,0,0,0,0
27,3,14,113.73080801457232,0,0,0,0,0,0,0
28,18,13,104.07736413384956,0,0,0,0,0,0,0
29,3,27,189.82788752228177,0,0,0,0,0,0,0
30,4,23,131.62151110495878,0,0,0,0,0,0,0
31,7,16,152.95514611904105,0,0,0,0,0,0,0
32,21,3,142.73549616856724,0,0,0,0,0,0,0
33,19,26,106.63156283905704,0,0,0,0,0,0,0
34,22,28,120.01963475633663,0,0,0,0,0,0,0
35,10,25,194.1608746346805,0,0,0,0,0,0,0
36,8,12,205.49421801440616,0,0,0,0,0,0,0
37,7,14,212.70556345204255,0,0,0,0,0,0,0
38,16,19,157.22923534038114,0,0,0,0,0,0,0
39,17,2,200.8284438213841,0,0,0,0,0,0,0
