LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1514,0,0,0,0,0
1,0,3,1010,0,0,0,0,0
2,1,6,1765,0,0,0,0,0
3,2,26,1677,0,0,0,0,0
4,2,23,1133,0,0,0,0,0
5,3,23,1786,0,0,0,0,0
6,4,21,1045,0,0,0,0,0
7,4,5,1547,0,0,0,0,0
8,5,8,1491,0,0,0,0,0
9,5,9,1414,0,0,0,0,0
10,6,7,1571,0,0,0,0,0
11,7,9,1443,0,0,0,0,0
12,8,14,1900,0,0,0,0,0
13,9,13,1255,0,0,0,0,0
14,10,15,1235,0,0,0,0,0
15,11,17,1284,0,0,0,0,0
16,11,12,1943,0,0,0,0,0
17,11,14,1237,0,0,0,0,0
18,12,18,1562,0,0,0,0,0
19,12,13,1910,0,0,0,0,0
20,15,16,1627,0,0,0,0,0
21,16,17,1241,0,0,0,0,0
22,16,18,1742,0,0,0,0,0
23,19,28,1367,0,0,0,0,0
24,20,26,1881,0,0,0,0,0
25,20,28,1093,0,0,0,0,0
26,21,22,1592,0,0,0,0,0
27,22,23,1999,0,0,0,0,0
28,23,24,1848,0,0,0,0,0
29,24,25,1429,0,0,0,0,0
30,25,26,1383,0,0,0,0,0
31,25,27,1828,0,0,0,0,0
32,27,28,1682,0,0,0,0,0
