LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1080,0,0,0,0,0
1,0,26,1996,0,0,0,0,0
2,0,3,1031,0,0,0,0,0
3,0,9,1408,0,0,0,0,0
4,2,28,1546,0,0,0,0,0
5,3,25,1249,0,0,0,0,0
6,3,15,1212,0,0,0,0,0
7,4,7,1436,0,0,0,0,0
8,5,6,1559,0,0,0,0,0
9,5,7,1061,0,0,0,0,0
10,6,9,1277,0,0,0,0,0
11,6,7,1102,0,0,0,0,0
12,7,8,1737,0,0,0,0,0
13,7,25,1824,0,0,0,0,0
14,7,28,1861,0,0,0,0,0
15,9,14,1651,0,0,0,0,0
16,9,13,1521,0,0,0,0,0
17,10,27,1989,0,0,0,0,0
18,11,28,1135,0,0,0,0,0
19,12,25,1469,0,0,0,0,0
20,16,25,1139,0,0,0,0,0
21,17,25,1608,0,0,0,0,0
22,18,28,1138,0,0,0,0,0
23,19,25,1081,0,0,0,0,0
24,20,25,1405,0,0,0,0,0
25,21,22,1744,0,0,0,0,0
26,22,24,1664,0,0,0,0,0
27,22,25,1750,0,0,0,0,0
28,23,24,1004,0,0,0,0,0
29,24,25,1644,0,0,0,0,0
30,25,26,1783,0,0,0,0,0
31,25,27,1124,0,0,0,0,0
32,25,28,1605,0,0,0,0,0
