tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,29,18,114.09995598575308,0,0,0,0,0,0,0
1,13,34,207.50115543338202,0,0,0,0,0,0,0
2,33,37,153.62222873323134,0,0,0,0,0,0,0
3,17,35,125.29894185218598,0,0,0,0,0,0,0
4,6,9,104.10947234344593,0,0,0,0,0,0,0
5,31,28,135.4047812651488,0,0,0,0,0,0,0
6,21,2,218.92934640562373,0,0,0,0,0,0,0
7,35,31,231.1221727118597,0,0,0,0,0,0,0
8,21,37,122.57794035091901,0,0,0,0,0,0,0
9,7,9,126.83994072688152,0,0,0,0,0,0,0
10,27,25,208.25446027614385,0,0,0,0,0,0,0
11,1,4,235.8508095721192,0,0,0,0,0,0,0
12,19,12,191.15293812006996,0,0,0,0,0,0,0
13,29,38,117.67221593772044,0,0,0,0,0,0,0
14,29,8,112.6879036782602,0,0,0,0,0,0,0
15,7,4,118.96857073709741,0,0,0,0,0,0,0
16,11,5,158.028396627386,0,0,0,0,0,0,0
17,13,21,170.62777393053312,0,0,0,0,0,0,0
18,38,27,217.08461006918165,0,0,0,0,0,0,0
19,22,8,190.61104168258345,0,0,0,0,0,0,0
20,29,7,193.68280999329724,0,0,0,0,0,0,0
21,21,1,177.45240258550615,0,0,0,0,0,0,0
22,3,22,137.80231491513143,0,0,0,0,0,0,0
23,33,18,179.37906129442644,0,0,0,0,0,0,0
24,20,3,222.96328030525507,0,0,0,0,0,0,0
25,20,6,169.78015072100885,0,0,0,0,0,0,0
26,38,35,165.48446218882867,0,0,0,0,0,0,0
27,37,27,185.95302363744338,0,0,0,0,0,0,0
28,38,1,130.75727185203363,0,0,0,0,0,0,0
29,29,17,142.82337354705214,0,0,0,0,0,0,0
30,27,14,226.21844746636526,0,0,0,0,0,0,0
31,8,20,235.85593758266688,0,0,0,0,0,0,0
32,10,15,119.84694026183207,0,0,0,0,0,0,0
33,27,23,119.19675401282072,0,0,0,0,0,0,0
34,10,26,129.68356683451495,0,0,0,0,0,0,0
35,28,1,216.89659336087743,0,0,0,0,0,0,0
36,11,19,153.86559191318588,0,0,0,0,0,0,0
37,35,5,134.80088175988243,0,0,0,0,0,0,0
38,3,11,106.9170419885738,0,0,0,0,0,0,0
39,8,19,107.38600567853317,0,0,0,0,0,0,0
