LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,16,1119,0,0,0,0,0
1,0,3,1418,0,0,0,0,0
2,0,39,1883,0,0,0,0,0
3,1,18,1016,0,0,0,0,0
4,1,39,1579,0,0,0,0,0
5,2,33,1652,0,0,0,0,0
6,4,8,1779,0,0,0,0,0
7,5,38,1129,0,0,0,0,0
8,6,18,1222,0,0,0,0,0
9,6,39,1569,0,0,0,0,0
10,7,39,1463,0,0,0,0,0
11,8,38,1685,0,0,0,0,0
12,8,39,1441,0,0,0,0,0
13,8,9,1613,0,0,0,0,0
14,8,11,1281,0,0,0,0,0
15,8,16,1020,0,0,0,0,0
16,8,18,1539,0,0,0,0,0
17,8,23,1005,0,0,0,0,0
18,8,24,1899,0,0,0,0,0
19,8,25,1467,0,0,0,0,0
20,8,26,1538,0,0,0,0,0
21,8,27,1696,0,0,0,0,0
22,8,28,1803,0,0,0,0,0
23,8,31,1150,0,0,0,0,0
24,9,27,1517,0,0,0,0,0
25,10,39,1351,0,0,0,0,0
26,12,28,1423,0,0,0,0,0
27,13,25,1278,0,0,0,0,0
28,14,16,1346,0,0,0,0,0
29,14,28,1101,0,0,0,0,0
30,15,16,1184,0,0,0,0,0
31,15,28,1193,0,0,0,0,0
32,16,27,1251,0,0,0,0,0
33,16,28,1093,0,0,0,0,0
34,17,28,1851,0,0,0,0,0
35,18,32,1325,0,0,0,0,0
36,18,33,1616,0,0,0,0,0
37,18,41,1178,0,0,0,0,0
38,18,39,1718,0,0,0,0,0
39,18,40,1023,0,0,0,0,0
40,18,25,1380,0,0,0,0,0
41,18,27,1124,0,0,0,0,0
42,18,28,1621,0,0,0,0,0
43,19,39,1696,0,0,0,0,0
44,20,23,1504,0,0,0,0,0
45,21,28,1677,0,0,0,0,0
46,22,25,1470,0,0,0,0,0
47,22,28,1327,0,0,0,0,0
48,23,28,1765,0,0,0,0,0
49,23,39,1091,0,0,0,0,0
50,25,39,1762,0,0,0,0,0
51,25,27,1936,0,0,0,0,0
52,27,39,1382,0,0,0,0,0
53,27,30,1920,0,0,0,0,0
54,28,38,1256,0,0,0,0,0
55,28,39,1472,0,0,0,0,0
56,28,29,1539,0,0,0,0,0
57,32,39,1133,0,0,0,0,0
58,33,39,1546,0,0,0,0,0
59,34,39,1000,0,0,0,0,0
60,35,39,1693,0,0,0,0,0
61,36,39,1600,0,0,0,0,0
62,37,38,1279,0,0,0,0,0
63,38,39,1100,0,0,0,0,0
64,39,41,1299,0,0,0,0,0
65,39,40,1182,0,0,0,0,0
