tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,13,15,146.81368037710607,0,0,0,0,0,0,0
1,15,34,198.06574719448162,0,0,0,0,0,0,0
2,36,34,207.64946440966685,0,0,0,0,0,0,0
3,12,26,170.98426107060573,0,0,0,0,0,0,0
4,3,22,187.72753683454036,0,0,0,0,0,0,0
5,35,19,129.50003835792242,0,0,0,0,0,0,0
6,14,38,222.84036062738096,0,0,0,0,0,0,0
7,27,38,214.46885843668366,0,0,0,0,0,0,0
8,33,34,207.89263125686625,0,0,0,0,0,0,0
9,8,38,197.63877139057433,0,0,0,0,0,0,0
10,37,29,179.44749127849752,0,0,0,0,0,0,0
11,15,13,171.69117812387938,0,0,0,0,0,0,0
12,11,26,132.60313132474596,0,0,0,0,0,0,0
13,37,0,102.0945472771113,0,0,0,0,0,0,0
14,39,36,195.95687874430274,0,0,0,0,0,0,0
15,26,30,159.19813177080786,0,0,0,0,0,0,0
16,24,20,226.07559639547145,0,0,0,0,0,0,0
17,10,36,141.11662046170386,0,0,0,0,0,0,0
18,35,13,184.97098300597185,0,0,0,0,0,0,0
19,0,30,178.92367225567716,0,0,0,0,0,0,0
20,11,41,185.18405553574206,0,0,0,0,0,0,0
21,4,12,203.63836861391823,0,0,0,0,0,0,0
22,13,12,185.77772651930323,0,0,0,0,0,0,0
23,41,6,100.45128009038017,0,0,0,0,0,0,0
24,38,3,138.1526391721855,0,0,0,0,0,0,0
25,16,36,151.30719677897935,0,0,0,0,0,0,0
26,22,1,204.44096128790608,0,0,0,0,0,0,0
27,15,30,141.42666526514864,0,0,0,0,0,0,0
28,7,29,199.93236750385202,0,0,0,0,0,0,0
29,35,40,100.92198079162392,0,0,0,0,0,0,0
30,14,0,207.838414067289,0,0,0,0,0,0,0
31,20,17,137.41447763177274,0,0,0,0,0,0,0
32,0,7,149.47032970050532,0,0,0,0,0,0,0
33,5,18,119.7388249493782,0,0,0,0,0,0,0
34,32,41,166.09138022860512,0,0,0,0,0,0,0
35,41,21,208.7913388787037,0,0,0,0,0,0,0
36,10,39,163.39561211625335,0,0,0,0,0,0,0
37,28,35,171.16523495046977,0,0,0,0,0,0,0
38,35,9,189.68800742476668,0,0,0,0,0,0,0
39,20,5,222.73945896626992,0,0,0,0,0,0,0
