tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,0,9,140.23470112777346,0,0,0,0,0,0,0
1,3,5,106.99018563088059,0,0,0,0,0,0,0
2,10,13,118.83515399365501,0,0,0,0,0,0,0
3,10,0,131.26474672567136,0,0,0,0,0,0,0
4,13,5,134.99305502663012,0,0,0,0,0,0,0
5,0,1,121.46198728180676,0,0,0,0,0,0,0
6,6,4,147.10536427519702,0,0,0,0,0,0,0
7,13,8,106.04174606975137,0,0,0,0,0,0,0
8,14,6,197.14497674931874,0,0,0,0,0,0,0
9,2,5,191.32431642295273,0,0,0,0,0,0,0
10,10,5,176.40888745690893,0,0,0,0,0,0,0
11,0,5,107.1903644553498,0,0,0,0,0,0,0
12,13,3,221.20402967519308,0,0,0,0,0,0,0
13,5,7,126.37143331110892,0,0,0,0,0,0,0
14,6,7,180.20527197914782,0,0,0,0,0,0,0
15,11,2,235.6793140437782,0,0,0,0,0,0,0
16,5,4,114.79152598380381,0,0,0,0,0,0,0
17,1,11,186.27202021744972,0,0,0,0,0,0,0
18,4,5,194.7384742238945,0,0,0,0,0,0,0
19,14,3,197.14430245837968,0,0,0,0,0,0,0
20,6,4,140.14381893974007,0,0,0,0,0,0,0
21,4,1,146.00465488060394,0,0,0,0,0,0,0
22,10,8,179.89431438775023,0,0,0,0,0,0,0
23,2,13,111.84091341829473,0,0,0,0,0,0,0
24,0,13,159.0846567896237,0,0,0,0,0,0,0
25,7,13,160.1589989386245,0,0,0,0,0,0,0
26,12,6,172.9942944177709,0,0,0,0,0,0,0
27,1,0,148.21934778843573,0,0,0,0,0,0,0
28,14,13,204.0095539090326,0,0,0,0,0,0,0
29,6,12,143.6246980881159,0,0,0,0,0,0,0
30,10,5,158.9894645143776,0,0,0,0,0,0,0
31,10,3,180.92680856007112,0,0,0,0,0,0,0
32,8,1,119.7391649163616,0,0,0,0,0,0,0
33,14,11,113.22764901601552,0,0,0,0,0,0,0
34,8,0,115.89816529006013,0,0,0,0,0,0,0
35,0,4,211.24007647924287,0,0,0,0,0,0,0
36,1,10,167.9950597201715,0,0,0,0,0,0,0
37,8,0,172.78984799907508,0,0,0,0,0,0,0
38,7,2,142.789148221442,0,0,0,0,0,0,0
39,9,1,108.76490818333089,0,0,0,0,0,0,0
