LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1295,0,0,0,0,0
1,0,3,1169,0,0,0,0,0
2,1,6,1681,0,0,0,0,0
3,2,24,1288,0,0,0,0,0
4,2,3,1297,0,0,0,0,0
5,4,5,1977,0,0,0,0,0
6,4,7,1853,0,0,0,0,0
7,5,6,1846,0,0,0,0,0
8,6,8,1411,0,0,0,0,0
9,6,13,1285,0,0,0,0,0
10,6,7,1752,0,0,0,0,0
11,8,9,1805,0,0,0,0,0
12,8,12,1706,0,0,0,0,0
13,9,18,1931,0,0,0,0,0
14,10,11,1382,0,0,0,0,0
15,10,13,1076,0,0,0,0,0
16,11,32,1032,0,0,0,0,0
17,13,19,1284,0,0,0,0,0
18,14,18,1358,0,0,0,0,0
19,14,21,1600,0,0,0,0,0
20,15,16,1370,0,0,0,0,0
21,15,22,1359,0,0,0,0,0
22,16,17,1853,0,0,0,0,0
23,17,18,1015,0,0,0,0,0
24,19,25,1036,0,0,0,0,0
25,19,20,1694,0,0,0,0,0
26,20,21,1450,0,0,0,0,0
27,21,22,1148,0,0,0,0,0
28,23,24,1761,0,0,0,0,0
29,23,32,1778,0,0,0,0,0
30,25,26,1106,0,0,0,0,0
31,26,27,1153,0,0,0,0,0
32,27,28,1308,0,0,0,0,0
33,27,31,1823,0,0,0,0,0
34,28,29,1276,0,0,0,0,0
35,29,30,1227,0,0,0,0,0
36,30,32,1078,0,0,0,0,0
37,31,32,1116,0,0,0,0,0
