tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,23,4,127.43009145675572,0,0,0,0,0,0,0
1,5,14,121.441270429788,0,0,0,0,0,0,0
2,12,22,135.36566198740252,0,0,0,0,0,0,0
3,26,27,209.6477150564399,0,0,0,0,0,0,0
4,28,11,124.61375109421135,0,0,0,0,0,0,0
5,19,30,112.1318440302575,0,0,0,0,0,0,0
6,3,13,187.45005709131314,0,0,0,0,0,0,0
7,32,23,195.31935610365852,0,0,0,0,0,0,0
8,6,29,211.02672310079697,0,0,0,0,0,0,0
9,23,25,211.7353516443572,0,0,0,0,0,0,0
10,3,30,231.78956596662445,0,0,0,0,0,0,0
11,26,32,182.48671805935794,0,0,0,0,0,0,0
12,12,5,131.75747588137307,0,0,0,0,0,0,0
13,31,0,167.83438760473027,0,0,0,0,0,0,0
14,30,0,199.24759126258283,0,0,0,0,0,0,0
15,5,16,135.70382937389442,0,0,0,0,0,0,0
16,17,23,189.92165832757897,0,0,0,0,0,0,0
17,30,5,190.00995401097072,0,0,0,0,0,0,0
18,2,21,198.01894249556733,0,0,0,0,0,0,0
19,26,19,152.29048907627575,0,0,0,0,0,0,0
20,13,32,127.93349194263767,0,0,0,0,0,0,0
21,6,20,159.55464404040356,0,0,0,0,0,0,0
22,32,7,135.40983233086305,0,0,0,0,0,0,0
23,26,29,205.29065503424718,0,0,0,0,0,0,0
24,28,23,172.94202531645084,0,0,0,0,0,0,0
25,24,15,115.66201546702813,0,0,0,0,0,0,0
26,6,18,117.97351643612446,0,0,0,0,0,0,0
27,13,31,213.49091731287825,0,0,0,0,0,0,0
28,29,19,194.28102055254823,0,0,0,0,0,0,0
29,12,16,149.84298936202447,0,0,0,0,0,0,0
30,18,26,182.33955756079206,0,0,0,0,0,0,0
31,6,2,220.29987944864496,0,0,0,0,0,0,0
32,11,2,221.07985696206538,0,0,0,0,0,0,0
33,29,23,165.26323590673394,0,0,0,0,0,0,0
34,3,31,115.80976671727458,0,0,0,0,0,0,0
35,5,24,128.41709647845968,0,0,0,0,0,0,0
36,31,22,161.64027956741495,0,0,0,0,0,0,0
37,0,11,185.85204792834233,0,0,0,0,0,0,0
38,17,21,121.72327324290171,0,0,0,0,0,0,0
39,8,6,158.69690941949665,0,0,0,0,0,0,0
40,24,6,132.3664950069509,0,0,0,0,0,0,0
41,2,27,168.55246977717462,0,0,0,0,0,0,0
42,18,7,154.09075494260608,0,0,0,0,0,0,0
43,32,17,184.7086696212491,0,0,0,0,0,0,0
44,2,26,218.94170879319364,0,0,0,0,0,0,0
45,9,13,154.65885403920652,0,0,0,0,0,0,0
46,8,22,120.36871925325795,0,0,0,0,0,0,0
47,32,6,112.93110499087574,0,0,0,0,0,0,0
48,32,12,146.53389711518554,0,0,0,0,0,0,0
49,0,29,208.04869956309005,0,0,0,0,0,0,0
50,13,3,203.19463839871008,0,0,0,0,0,0,0
51,14,30,165.28582924725438,0,0,0,0,0,0,0
52,7,22,143.87297770342863,0,0,0,0,0,0,0
53,17,25,205.89969095908972,0,0,0,0,0,0,0
54,3,21,194.6480147106432,0,0,0,0,0,0,0
55,8,23,197.70326589651864,0,0,0,0,0,0,0
56,21,25,196.8835650181878,0,0,0,0,0,0,0
57,18,31,205.06690040666933,0,0,0,0,0,0,0
58,2,5,165.2876149302246,0,0,0,0,0,0,0
59,27,8,113.99883918912397,0,0,0,0,0,0,0
60,32,30,114.20215615149525,0,0,0,0,0,0,0
61,30,5,109.06388426085526,0,0,0,0,0,0,0
62,31,21,214.94418676959322,0,0,0,0,0,0,0
63,19,28,108.37740356369866,0,0,0,0,0,0,0
64,4,17,146.10753760111498,0,0,0,0,0,0,0
65,30,26,206.67455944695232,0,0,0,0,0,0,0
66,5,24,222.78093483996338,0,0,0,0,0,0,0
67,9,27,164.60545236088626,0,0,0,0,0,0,0
68,23,13,176.63319245253228,0,0,0,0,0,0,0
69,18,6,143.79635121804262,0,0,0,0,0,0,0
70,16,0,188.49231203545173,0,0,0,0,0,0,0
71,0,14,208.64023603064453,0,0,0,0,0,0,0
72,30,31,191.7596146427221,0,0,0,0,0,0,0
73,12,8,206.99502171967134,0,0,0,0,0,0,0
74,29,2,179.82581223014552,0,0,0,0,0,0,0
75,24,7,228.48907161461202,0,0,0,0,0,0,0
76,30,8,188.02354242773345,0,0,0,0,0,0,0
77,13,29,197.41049084044442,0,0,0,0,0,0,0
78,25,1,156.03888811211118,0,0,0,0,0,0,0
79,25,10,212.8140077892985,0,0,0,0,0,0,0
