LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,20,1259,0,0,0,0,0
1,1,20,1774,0,0,0,0,0
2,2,28,1274,0,0,0,0,0
3,3,29,1784,0,0,0,0,0
4,4,7,1642,0,0,0,0,0
5,5,6,1218,0,0,0,0,0
6,6,7,1275,0,0,0,0,0
7,6,29,1725,0,0,0,0,0
8,8,29,1763,0,0,0,0,0
9,9,29,1389,0,0,0,0,0
10,10,29,1903,0,0,0,0,0
11,11,29,1592,0,0,0,0,0
12,12,29,1039,0,0,0,0,0
13,13,29,1576,0,0,0,0,0
14,14,29,1828,0,0,0,0,0
15,15,29,1058,0,0,0,0,0
16,16,29,1985,0,0,0,0,0
17,17,29,1092,0,0,0,0,0
18,18,29,1388,0,0,0,0,0
19,19,29,1281,0,0,0,0,0
20,20,22,1681,0,0,0,0,0
21,21,28,1844,0,0,0,0,0
22,22,23,1855,0,0,0,0,0
23,22,25,1080,0,0,0,0,0
24,22,26,1007,0,0,0,0,0
25,22,27,1060,0,0,0,0,0
26,22,28,1898,0,0,0,0,0
27,22,29,1361,0,0,0,0,0
28,23,24,1288,0,0,0,0,0
