tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,3,29,159.90453943586206,0,0,0,0,0,0,0
1,27,4,217.81451055738307,0,0,0,0,0,0,0
2,20,21,216.01453927259365,0,0,0,0,0,0,0
3,17,13,215.36991328086012,0,0,0,0,0,0,0
4,21,23,194.6308888856517,0,0,0,0,0,0,0
5,6,29,136.22579948776357,0,0,0,0,0,0,0
6,8,11,216.1041689735918,0,0,0,0,0,0,0
7,10,22,113.86480403587726,0,0,0,0,0,0,0
8,23,11,127.81447528899231,0,0,0,0,0,0,0
9,18,19,173.35385819560662,0,0,0,0,0,0,0
