tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,25,21,188.41118523567548,0,0,0,0,0,0,0
1,4,3,210.9876362184483,0,0,0,0,0,0,0
2,4,3,194.10320100137886,0,0,0,0,0,0,0
3,19,25,145.91085346483055,0,0,0,0,0,0,0
4,6,1,184.07688800567564,0,0,0,0,0,0,0
5,0,23,219.9681153112063,0,0,0,0,0,0,0
6,16,13,140.33511135602268,0,0,0,0,0,0,0
7,11,10,201.39052729275943,0,0,0,0,0,0,0
8,23,4,141.54957419516342,0,0,0,0,0,0,0
9,17,16,204.19856292346043,0,0,0,0,0,0,0
10,14,12,184.66944190617127,0,0,0,0,0,0,0
11,25,26,177.8273759311949,0,0,0,0,0,0,0
12,9,16,124.80866293589773,0,0,0,0,0,0,0
13,1,8,183.92548396713502,0,0,0,0,0,0,0
14,3,13,144.03639619049156,0,0,0,0,0,0,0
15,25,21,199.44877731725137,0,0,0,0,0,0,0
16,21,2,129.55881032183527,0,0,0,0,0,0,0
17,21,2,218.14234831581638,0,0,0,0,0,0,0
18,3,2,184.39299817606133,0,0,0,0,0,0,0
19,15,4,143.18999728425518,0,0,0,0,0,0,0
20,16,15,172.74349387792515,0,0,0,0,0,0,0
21,19,16,172.63622561789668,0,0,0,0,0,0,0
22,0,8,155.87800511137354,0,0,0,0,0,0,0
23,14,5,105.31377534457113,0,0,0,0,0,0,0
24,20,6,142.1756231300455,0,0,0,0,0,0,0
25,3,21,131.28013697590498,0,0,0,0,0,0,0
26,22,2,109.58270140902555,0,0,0,0,0,0,0
27,10,25,181.9937531380233,0,0,0,0,0,0,0
28,5,3,124.88503382199526,0,0,0,0,0,0,0
29,3,20,164.57398886465904,0,0,0,0,0,0,0
30,5,7,126.63817864815609,0,0,0,0,0,0,0
31,10,18,179.26009647691862,0,0,0,0,0,0,0
32,5,6,178.1381008686772,0,0,0,0,0,0,0
33,4,24,145.54078741874514,0,0,0,0,0,0,0
34,8,22,214.71513005204832,0,0,0,0,0,0,0
35,27,14,185.58768761243914,0,0,0,0,0,0,0
36,22,25,190.05779205770125,0,0,0,0,0,0,0
37,15,19,170.98429000073355,0,0,0,0,0,0,0
38,19,11,172.15169555900673,0,0,0,0,0,0,0
39,6,19,230.24810654096882,0,0,0,0,0,0,0
40,12,14,191.47251518950154,0,0,0,0,0,0,0
41,20,13,174.90588247057565,0,0,0,0,0,0,0
42,4,25,223.23312855916518,0,0,0,0,0,0,0
43,26,22,210.01355298818964,0,0,0,0,0,0,0
44,12,20,138.95418633421045,0,0,0,0,0,0,0
45,12,8,149.1850035874068,0,0,0,0,0,0,0
46,0,3,155.00991451204706,0,0,0,0,0,0,0
47,6,23,197.50317203542994,0,0,0,0,0,0,0
48,18,21,169.6929661924163,0,0,0,0,0,0,0
49,10,23,182.18737163954006,0,0,0,0,0,0,0
50,0,21,207.66617331769453,0,0,0,0,0,0,0
51,23,13,194.96262988651142,0,0,0,0,0,0,0
52,12,27,146.95556135242623,0,0,0,0,0,0,0
53,3,23,182.8316162324905,0,0,0,0,0,0,0
54,24,23,117.98789103363407,0,0,0,0,0,0,0
55,19,22,222.83857061355644,0,0,0,0,0,0,0
56,0,4,179.93797747781883,0,0,0,0,0,0,0
57,10,7,116.78471386210227,0,0,0,0,0,0,0
58,21,11,194.51949656517465,0,0,0,0,0,0,0
59,5,3,155.8592579694186,0,0,0,0,0,0,0
60,25,24,218.22046009025877,0,0,0,0,0,0,0
61,27,1,195.81491094250796,0,0,0,0,0,0,0
62,6,0,159.85077682394777,0,0,0,0,0,0,0
63,15,11,159.944008106532,0,0,0,0,0,0,0
64,10,12,130.6077739369826,0,0,0,0,0,0,0
65,10,21,176.91455543873627,0,0,0,0,0,0,0
66,6,0,104.80552750269965,0,0,0,0,0,0,0
67,1,0,137.87354595554322,0,0,0,0,0,0,0
68,16,11,110.05395753573438,0,0,0,0,0,0,0
69,25,3,177.21039821634696,0,0,0,0,0,0,0
70,0,27,191.77778755139278,0,0,0,0,0,0,0
71,8,4,126.906804283332,0,0,0,0,0,0,0
72,19,6,110.46568831077073,0,0,0,0,0,0,0
73,9,8,206.92361468046718,0,0,0,0,0,0,0
74,15,1,162.80113788074385,0,0,0,0,0,0,0
75,16,15,222.53662923882754,0,0,0,0,0,0,0
76,7,13,135.8428479435828,0,0,0,0,0,0,0
77,21,13,153.97612640650925,0,0,0,0,0,0,0
78,13,17,123.92144881259365,0,0,0,0,0,0,0
79,16,18,174.94717005607293,0,0,0,0,0,0,0
