tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,3,1,161.2714441829853,0,0,0,0,0,0,0
1,4,3,197.71612616198075,0,0,0,0,0,0,0
2,4,3,184.79108766838337,0,0,0,0,0,0,0
3,2,3,132.1382168204025,0,0,0,0,0,0,0
4,4,5,140.18411900452787,0,0,0,0,0,0,0
5,4,5,133.62742357832107,0,0,0,0,0,0,0
6,1,0,194.26479199965348,0,0,0,0,0,0,0
7,4,5,173.7154434023103,0,0,0,0,0,0,0
8,3,2,181.1817618910221,0,0,0,0,0,0,0
9,4,2,194.21919057962674,0,0,0,0,0,0,0
10,4,2,168.78113345530554,0,0,0,0,0,0,0
11,4,0,156.30620523155403,0,0,0,0,0,0,0
12,0,1,143.7407336128608,0,0,0,0,0,0,0
13,5,3,193.4503886518052,0,0,0,0,0,0,0
14,4,3,148.41169575841576,0,0,0,0,0,0,0
15,0,4,133.99112112942254,0,0,0,0,0,0,0
16,1,2,166.52712598251463,0,0,0,0,0,0,0
17,0,2,119.05459989158882,0,0,0,0,0,0,0
18,3,1,206.83929346200904,0,0,0,0,0,0,0
19,1,4,106.9456338522619,0,0,0,0,0,0,0
20,0,5,112.745228449198,0,0,0,0,0,0,0
21,2,4,117.52130700793626,0,0,0,0,0,0,0
22,5,1,110.11657990936294,0,0,0,0,0,0,0
23,0,3,157.33845122747522,0,0,0,0,0,0,0
24,5,0,192.87823598364196,0,0,0,0,0,0,0
25,0,1,202.57094827459235,0,0,0,0,0,0,0
26,4,3,113.83148196155464,0,0,0,0,0,0,0
27,4,1,181.2707663589875,0,0,0,0,0,0,0
28,2,3,131.85966557219464,0,0,0,0,0,0,0
29,0,2,159.89892174871358,0,0,0,0,0,0,0
30,4,1,207.2658837204262,0,0,0,0,0,0,0
31,4,2,152.23976172243226,0,0,0,0,0,0,0
32,1,0,168.7431427718692,0,0,0,0,0,0,0
33,5,4,135.42307167562964,0,0,0,0,0,0,0
34,2,0,103.11726336584529,0,0,0,0,0,0,0
35,3,2,201.86664211840105,0,0,0,0,0,0,0
36,5,0,136.85205392819088,0,0,0,0,0,0,0
37,2,5,101.65129602542028,0,0,0,0,0,0,0
38,0,3,156.29280487214618,0,0,0,0,0,0,0
39,1,3,133.82872879622124,0,0,0,0,0,0,0
40,0,3,180.7341403510535,0,0,0,0,0,0,0
41,4,3,137.48406682485705,0,0,0,0,0,0,0
42,5,3,168.73780086599726,0,0,0,0,0,0,0
43,4,2,178.47327722528522,0,0,0,0,0,0,0
44,0,3,127.33796905197413,0,0,0,0,0,0,0
45,5,4,174.2566296360364,0,0,0,0,0,0,0
46,2,1,204.57106439650272,0,0,0,0,0,0,0
47,3,4,166.02574303675328,0,0,0,0,0,0,0
48,0,2,126.37644258517787,0,0,0,0,0,0,0
49,2,0,118.62419482318751,0,0,0,0,0,0,0
50,0,3,155.9187377353197,0,0,0,0,0,0,0
51,3,5,227.0553490443404,0,0,0,0,0,0,0
52,0,1,154.7156533371011,0,0,0,0,0,0,0
53,1,0,140.30139973032942,0,0,0,0,0,0,0
54,0,4,147.40179465717273,0,0,0,0,0,0,0
55,0,5,219.3002642009599,0,0,0,0,0,0,0
56,1,3,197.25413651537355,0,0,0,0,0,0,0
57,2,1,151.9561841721755,0,0,0,0,0,0,0
58,0,2,186.71919839634748,0,0,0,0,0,0,0
59,5,3,116.75376816652461,0,0,0,0,0,0,0
60,2,0,243.47389732953545,0,0,0,0,0,0,0
61,0,5,138.3675092711319,0,0,0,0,0,0,0
62,2,4,202.42262097166923,0,0,0,0,0,0,0
63,2,4,184.37438260352275,0,0,0,0,0,0,0
64,0,4,189.3341147352833,0,0,0,0,0,0,0
65,1,2,142.54396063270084,0,0,0,0,0,0,0
66,4,0,119.96988665339678,0,0,0,0,0,0,0
67,2,0,158.82923848003574,0,0,0,0,0,0,0
68,1,0,147.4797955989588,0,0,0,0,0,0,0
69,0,1,217.99133292570832,0,0,0,0,0,0,0
70,0,5,141.47675494800248,0,0,0,0,0,0,0
71,5,3,165.8954780788817,0,0,0,0,0,0,0
72,4,3,157.11183631779545,0,0,0,0,0,0,0
73,5,0,185.2918093846183,0,0,0,0,0,0,0
74,4,3,185.84649083029137,0,0,0,0,0,0,0
75,5,0,200.74054461516096,0,0,0,0,0,0,0
76,5,3,176.68207525233606,0,0,0,0,0,0,0
77,1,3,109.92058164461332,0,0,0,0,0,0,0
78,1,0,136.6066251248368,0,0,0,0,0,0,0
79,1,3,218.08983586814435,0,0,0,0,0,0,0
