LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,8,1812,0,0,0,0,0
1,0,1,1123,0,0,0,0,0
2,0,3,1584,0,0,0,0,0
3,0,6,1772,0,0,0,0,0
4,0,7,1755,0,0,0,0,0
5,1,8,1824,0,0,0,0,0
6,1,6,1847,0,0,0,0,0
7,2,29,1065,0,0,0,0,0
8,2,30,1029,0,0,0,0,0
9,4,8,1403,0,0,0,0,0
10,4,5,1510,0,0,0,0,0
11,4,7,1303,0,0,0,0,0
12,6,8,1820,0,0,0,0,0
13,8,9,1462,0,0,0,0,0
14,8,21,1971,0,0,0,0,0
15,8,24,1074,0,0,0,0,0
16,8,25,1269,0,0,0,0,0
17,9,20,1976,0,0,0,0,0
18,9,21,1163,0,0,0,0,0
19,9,24,1995,0,0,0,0,0
20,9,25,1276,0,0,0,0,0
21,9,28,1645,0,0,0,0,0
22,10,16,1568,0,0,0,0,0
23,10,17,1865,0,0,0,0,0
24,11,19,1871,0,0,0,0,0
25,11,20,1323,0,0,0,0,0
26,11,15,1296,0,0,0,0,0
27,12,25,1086,0,0,0,0,0
28,12,20,1004,0,0,0,0,0
29,12,13,1408,0,0,0,0,0
30,12,14,1421,0,0,0,0,0
31,14,16,1246,0,0,0,0,0
32,14,17,1941,0,0,0,0,0
33,14,18,1121,0,0,0,0,0
34,14,15,1826,0,0,0,0,0
35,15,16,1508,0,0,0,0,0
36,15,25,1498,0,0,0,0,0
37,15,20,1109,0,0,0,0,0
38,16,20,1383,0,0,0,0,0
39,17,18,1894,0,0,0,0,0
40,18,21,1616,0,0,0,0,0
41,19,20,1603,0,0,0,0,0
42,20,36,1913,0,0,0,0,0
43,20,21,1637,0,0,0,0,0
44,20,23,1091,0,0,0,0,0
45,20,28,1787,0,0,0,0,0
46,21,34,1468,0,0,0,0,0
47,21,24,1435,0,0,0,0,0
48,21,25,1008,0,0,0,0,0
49,23,25,1197,0,0,0,0,0
50,24,26,1223,0,0,0,0,0
51,24,28,1670,0,0,0,0,0
52,25,36,1321,0,0,0,0,0
53,25,28,1618,0,0,0,0,0
54,26,32,1295,0,0,0,0,0
55,26,31,1422,0,0,0,0,0
56,29,37,1482,0,0,0,0,0
57,29,30,1967,0,0,0,0,0
58,31,32,1528,0,0,0,0,0
59,33,35,1688,0,0,0,0,0
60,33,38,1672,0,0,0,0,0
61,37,38,1984,0,0,0,0,0
