tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,24,30,255.10306173740705,0,0,0,0,0,0,0
1,26,21,202.32889153720026,0,0,0,0,0,0,0
2,23,34,204.3962322251682,0,0,0,0,0,0,0
3,0,26,152.3166716880577,0,0,0,0,0,0,0
4,16,3,161.24837912808718,0,0,0,0,0,0,0
5,23,37,148.1992196220471,0,0,0,0,0,0,0
6,37,16,182.57910465358657,0,0,0,0,0,0,0
7,29,33,181.62371246982295,0,0,0,0,0,0,0
8,9,25,117.714812092158,0,0,0,0,0,0,0
9,16,35,217.6366013911434,0,0,0,0,0,0,0
10,21,26,193.90416826359407,0,0,0,0,0,0,0
11,37,34,157.90284076813046,0,0,0,0,0,0,0
12,20,1,208.36834269934354,0,0,0,0,0,0,0
13,35,3,157.67910750211757,0,0,0,0,0,0,0
14,24,18,218.18897412890715,0,0,0,0,0,0,0
15,15,38,187.77993180375847,0,0,0,0,0,0,0
16,15,37,201.58437838170693,0,0,0,0,0,0,0
17,27,5,182.87093609254038,0,0,0,0,0,0,0
18,30,34,161.9957278663671,0,0,0,0,0,0,0
19,33,7,163.7452222844387,0,0,0,0,0,0,0
20,36,31,134.34241826988648,0,0,0,0,0,0,0
21,14,18,141.90790333460637,0,0,0,0,0,0,0
22,38,32,131.18466606427154,0,0,0,0,0,0,0
23,5,25,142.0990453983952,0,0,0,0,0,0,0
24,12,3,146.07702075164144,0,0,0,0,0,0,0
25,16,20,130.27541843020853,0,0,0,0,0,0,0
26,34,22,251.10634912386107,0,0,0,0,0,0,0
27,14,30,105.60677982445205,0,0,0,0,0,0,0
28,6,0,205.23237067942546,0,0,0,0,0,0,0
29,37,31,121.67793238217413,0,0,0,0,0,0,0
30,18,34,208.0914581565968,0,0,0,0,0,0,0
31,29,31,158.33763976764635,0,0,0,0,0,0,0
32,32,2,182.23437601560784,0,0,0,0,0,0,0
33,13,25,184.0633520321192,0,0,0,0,0,0,0
34,30,16,129.13230325442305,0,0,0,0,0,0,0
35,24,16,184.09824697602437,0,0,0,0,0,0,0
36,30,14,157.74489976551018,0,0,0,0,0,0,0
37,24,0,193.29236469714192,0,0,0,0,0,0,0
38,29,0,228.77369389143323,0,0,0,0,0,0,0
39,29,23,122.88328440849067,0,0,0,0,0,0,0
