LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1646,0,0,0,0,0
1,0,3,1301,0,0,0,0,0
2,0,14,1442,0,0,0,0,0
3,1,3,1551,0,0,0,0,0
4,1,4,1075,0,0,0,0,0
5,2,16,1309,0,0,0,0,0
6,2,11,1830,0,0,0,0,0
7,2,3,1916,0,0,0,0,0
8,2,19,1418,0,0,0,0,0
9,4,7,1924,0,0,0,0,0
10,5,8,1428,0,0,0,0,0
11,5,6,1287,0,0,0,0,0
12,6,8,1535,0,0,0,0,0
13,6,14,1877,0,0,0,0,0
14,6,7,1637,0,0,0,0,0
15,7,9,1889,0,0,0,0,0
16,8,9,1750,0,0,0,0,0
17,9,12,1258,0,0,0,0,0
18,9,13,1551,0,0,0,0,0
19,9,14,1448,0,0,0,0,0
20,9,15,1061,0,0,0,0,0
21,10,11,1732,0,0,0,0,0
22,10,19,1714,0,0,0,0,0
23,12,13,1473,0,0,0,0,0
24,13,14,1885,0,0,0,0,0
25,14,16,1930,0,0,0,0,0
26,15,16,1130,0,0,0,0,0
27,16,17,1672,0,0,0,0,0
28,17,18,1819,0,0,0,0,0
29,18,19,1007,0,0,0,0,0
