tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,4,18,147.29287528020538,0,0,0,0,0,0,0
1,14,5,216.25891483290573,0,0,0,0,0,0,0
2,14,7,171.11184949597396,0,0,0,0,0,0,0
3,8,10,185.8048176805197,0,0,0,0,0,0,0
4,8,6,171.24068131880824,0,0,0,0,0,0,0
5,5,15,199.67559369351056,0,0,0,0,0,0,0
6,11,1,132.22609143862974,0,0,0,0,0,0,0
7,3,12,161.5076630094364,0,0,0,0,0,0,0
8,10,3,209.67486246988614,0,0,0,0,0,0,0
9,2,14,107.94769451934945,0,0,0,0,0,0,0
10,8,7,103.70893165565971,0,0,0,0,0,0,0
11,1,13,163.83912043835292,0,0,0,0,0,0,0
12,15,10,182.3948650589815,0,0,0,0,0,0,0
13,14,19,175.9261965390821,0,0,0,0,0,0,0
14,2,11,207.6555922274548,0,0,0,0,0,0,0
15,17,4,123.01380646974222,0,0,0,0,0,0,0
16,14,11,166.39956831286452,0,0,0,0,0,0,0
17,13,1,182.7053701444504,0,0,0,0,0,0,0
18,10,8,192.96243968754433,0,0,0,0,0,0,0
19,7,4,196.62129976371506,0,0,0,0,0,0,0
20,17,10,108.4018090579905,0,0,0,0,0,0,0
21,7,17,111.17677412256644,0,0,0,0,0,0,0
22,8,10,115.71727603946037,0,0,0,0,0,0,0
23,16,9,184.9321157421051,0,0,0,0,0,0,0
24,13,6,179.9542057848122,0,0,0,0,0,0,0
25,13,4,209.8494344283066,0,0,0,0,0,0,0
26,2,10,205.98554792226344,0,0,0,0,0,0,0
27,14,0,176.03053615600197,0,0,0,0,0,0,0
28,14,5,187.82503825631224,0,0,0,0,0,0,0
29,13,1,150.78917219796242,0,0,0,0,0,0,0
30,6,5,158.30637299861323,0,0,0,0,0,0,0
31,11,1,166.79163286781613,0,0,0,0,0,0,0
32,1,11,116.19663604702347,0,0,0,0,0,0,0
33,2,11,205.56303339377402,0,0,0,0,0,0,0
34,10,3,165.99517778431294,0,0,0,0,0,0,0
35,11,17,125.31143497079188,0,0,0,0,0,0,0
36,2,18,232.90673947515793,0,0,0,0,0,0,0
37,3,12,134.9890052078353,0,0,0,0,0,0,0
38,0,11,194.66860157056118,0,0,0,0,0,0,0
39,9,10,207.8971581307156,0,0,0,0,0,0,0
40,10,4,186.53808131582002,0,0,0,0,0,0,0
41,9,6,155.96836067724817,0,0,0,0,0,0,0
42,16,1,196.2717750505691,0,0,0,0,0,0,0
43,10,1,108.74644573508535,0,0,0,0,0,0,0
44,5,0,129.99783934400492,0,0,0,0,0,0,0
45,15,8,175.89500319797168,0,0,0,0,0,0,0
46,15,9,190.1746941560901,0,0,0,0,0,0,0
47,9,10,160.63418360963976,0,0,0,0,0,0,0
48,17,3,210.2167857209761,0,0,0,0,0,0,0
49,4,8,103.84819708015766,0,0,0,0,0,0,0
50,9,0,224.0708784993647,0,0,0,0,0,0,0
51,19,13,137.69393059576086,0,0,0,0,0,0,0
52,18,17,135.0874344264843,0,0,0,0,0,0,0
53,8,16,195.52219961005073,0,0,0,0,0,0,0
54,11,7,156.47760771955365,0,0,0,0,0,0,0
55,10,5,209.22127300941204,0,0,0,0,0,0,0
56,19,8,232.22173755662055,0,0,0,0,0,0,0
57,12,5,189.5793234264459,0,0,0,0,0,0,0
58,19,12,104.09281068632143,0,0,0,0,0,0,0
59,18,16,201.6879280320902,0,0,0,0,0,0,0
60,14,19,209.04886066666313,0,0,0,0,0,0,0
61,11,1,125.4663857174509,0,0,0,0,0,0,0
62,7,11,211.13786743050693,0,0,0,0,0,0,0
63,7,15,168.4314191372579,0,0,0,0,0,0,0
64,10,5,233.9424754643709,0,0,0,0,0,0,0
65,7,11,192.80214649200963,0,0,0,0,0,0,0
66,3,8,194.38999968862805,0,0,0,0,0,0,0
67,5,10,213.22825408136282,0,0,0,0,0,0,0
68,6,17,178.46034389499255,0,0,0,0,0,0,0
69,13,5,132.5310937911192,0,0,0,0,0,0,0
70,19,13,191.00784381240084,0,0,0,0,0,0,0
71,6,4,175.95537232924252,0,0,0,0,0,0,0
72,4,1,169.27905662414508,0,0,0,0,0,0,0
73,14,10,193.21119580749317,0,0,0,0,0,0,0
74,1,0,114.42122278415387,0,0,0,0,0,0,0
75,17,19,172.7356365787079,0,0,0,0,0,0,0
76,9,18,118.02609330598892,0,0,0,0,0,0,0
77,4,1,191.1357534891535,0,0,0,0,0,0,0
78,10,1,141.169892143436,0,0,0,0,0,0,0
79,9,7,159.60499391387916,0,0,0,0,0,0,0
