tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,3,4,138.03699588077083,0,0,0,0,0,0,0
1,3,0,150.1911802882218,0,0,0,0,0,0,0
2,5,4,108.81475048793178,0,0,0,0,0,0,0
3,3,0,187.68618854597764,0,0,0,0,0,0,0
4,0,5,106.4171781122361,0,0,0,0,0,0,0
5,1,2,189.92797908404677,0,0,0,0,0,0,0
6,2,1,157.48847674966458,0,0,0,0,0,0,0
7,0,3,187.29189540946163,0,0,0,0,0,0,0
8,1,3,223.51803380008715,0,0,0,0,0,0,0
9,2,5,143.3480500483618,0,0,0,0,0,0,0
10,0,5,190.57022195084417,0,0,0,0,0,0,0
11,0,2,225.8578512499888,0,0,0,0,0,0,0
12,1,5,145.44836954432367,0,0,0,0,0,0,0
13,2,0,223.78392619225667,0,0,0,0,0,0,0
14,4,1,139.58333184838494,0,0,0,0,0,0,0
15,1,3,199.09394617504333,0,0,0,0,0,0,0
16,5,3,179.67401705243378,0,0,0,0,0,0,0
17,4,1,184.35479151478282,0,0,0,0,0,0,0
18,4,5,219.3597766988733,0,0,0,0,0,0,0
19,5,4,153.57292841772806,0,0,0,0,0,0,0
20,5,1,190.54617514730376,0,0,0,0,0,0,0
21,0,2,135.6384175449801,0,0,0,0,0,0,0
22,3,5,174.6906756989253,0,0,0,0,0,0,0
23,2,0,193.25139920175292,0,0,0,0,0,0,0
24,0,4,194.33712121799172,0,0,0,0,0,0,0
25,5,2,185.6601930607526,0,0,0,0,0,0,0
26,2,0,107.92985010555196,0,0,0,0,0,0,0
27,3,1,108.16726617167193,0,0,0,0,0,0,0
28,1,2,219.20521178304813,0,0,0,0,0,0,0
29,0,2,101.61523063723675,0,0,0,0,0,0,0
30,3,0,135.39398154773755,0,0,0,0,0,0,0
31,3,0,103.48668321075628,0,0,0,0,0,0,0
32,3,2,190.84154342459888,0,0,0,0,0,0,0
33,0,3,227.30562468011647,0,0,0,0,0,0,0
34,1,0,173.18717374491996,0,0,0,0,0,0,0
35,1,3,188.4207207167076,0,0,0,0,0,0,0
36,1,2,215.00493195006317,0,0,0,0,0,0,0
37,5,0,165.23837932885263,0,0,0,0,0,0,0
38,5,1,135.52823073595437,0,0,0,0,0,0,0
39,0,2,196.94668053314876,0,0,0,0,0,0,0
40,3,2,151.98219695151363,0,0,0,0,0,0,0
41,2,1,210.2332708910959,0,0,0,0,0,0,0
42,3,1,150.36194001265426,0,0,0,0,0,0,0
43,5,2,211.82768005199097,0,0,0,0,0,0,0
44,0,2,129.42972448359416,0,0,0,0,0,0,0
45,4,5,126.09314021412102,0,0,0,0,0,0,0
46,1,4,170.51223114725082,0,0,0,0,0,0,0
47,5,0,214.8353882846495,0,0,0,0,0,0,0
48,3,1,113.08595648195538,0,0,0,0,0,0,0
49,4,0,202.17001898794598,0,0,0,0,0,0,0
50,2,5,193.35578444380133,0,0,0,0,0,0,0
51,1,0,108.14216152876402,0,0,0,0,0,0,0
52,1,2,177.78432650639846,0,0,0,0,0,0,0
53,5,4,148.54512281263405,0,0,0,0,0,0,0
54,1,0,149.29112595946478,0,0,0,0,0,0,0
55,4,2,119.14579088765541,0,0,0,0,0,0,0
56,1,3,155.3358750919168,0,0,0,0,0,0,0
57,0,3,183.08032174711974,0,0,0,0,0,0,0
58,1,2,167.15801564505034,0,0,0,0,0,0,0
59,5,3,169.58317101245765,0,0,0,0,0,0,0
60,3,2,210.30414512386756,0,0,0,0,0,0,0
61,0,3,173.59386243077608,0,0,0,0,0,0,0
62,5,3,143.56799131460775,0,0,0,0,0,0,0
63,2,4,122.95551474177341,0,0,0,0,0,0,0
64,4,2,155.307003178626,0,0,0,0,0,0,0
65,2,1,142.55419032130555,0,0,0,0,0,0,0
66,0,5,139.31223401126005,0,0,0,0,0,0,0
67,0,3,167.59174922577924,0,0,0,0,0,0,0
68,5,0,102.11127122829251,0,0,0,0,0,0,0
69,1,4,199.01919402420822,0,0,0,0,0,0,0
70,0,3,107.62035596546504,0,0,0,0,0,0,0
71,5,2,172.3738157449826,0,0,0,0,0,0,0
72,0,5,175.712871713997,0,0,0,0,0,0,0
73,2,5,216.09657856078655,0,0,0,0,0,0,0
74,2,4,143.62771780640267,0,0,0,0,0,0,0
75,2,3,201.41536572329971,0,0,0,0,0,0,0
76,1,5,155.46949972263866,0,0,0,0,0,0,0
77,0,2,154.73763893023795,0,0,0,0,0,0,0
78,5,2,165.14691748736473,0,0,0,0,0,0,0
79,3,2,132.54548323650266,0,0,0,0,0,0,0
