LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,3,1970,0,0,0,0,0
1,0,6,1243,0,0,0,0,0
2,1,6,1879,0,0,0,0,0
3,2,3,1665,0,0,0,0,0
4,2,28,1384,0,0,0,0,0
5,4,5,1598,0,0,0,0,0
6,4,7,1381,0,0,0,0,0
7,5,8,1521,0,0,0,0,0
8,6,11,1395,0,0,0,0,0
9,7,11,1650,0,0,0,0,0
10,7,14,1688,0,0,0,0,0
11,8,17,1221,0,0,0,0,0
12,8,12,1471,0,0,0,0,0
13,8,14,1770,0,0,0,0,0
14,8,9,1353,0,0,0,0,0
15,10,17,1263,0,0,0,0,0
16,11,27,1285,0,0,0,0,0
17,11,14,1061,0,0,0,0,0
18,12,14,1081,0,0,0,0,0
19,12,16,1651,0,0,0,0,0
20,12,17,1651,0,0,0,0,0
21,12,23,1394,0,0,0,0,0
22,12,24,1285,0,0,0,0,0
23,13,27,1137,0,0,0,0,0
24,13,29,1955,0,0,0,0,0
25,13,14,1278,0,0,0,0,0
26,14,33,1570,0,0,0,0,0
27,14,36,1131,0,0,0,0,0
28,14,18,1261,0,0,0,0,0
29,14,19,1359,0,0,0,0,0
30,14,20,1501,0,0,0,0,0
31,14,21,1872,0,0,0,0,0
32,14,23,1481,0,0,0,0,0
33,14,26,1503,0,0,0,0,0
34,14,27,1091,0,0,0,0,0
35,14,29,1454,0,0,0,0,0
36,15,16,1931,0,0,0,0,0
37,22,35,1509,0,0,0,0,0
38,22,28,1192,0,0,0,0,0
39,25,26,1400,0,0,0,0,0
40,30,32,1564,0,0,0,0,0
41,31,32,1743,0,0,0,0,0
42,32,33,1877,0,0,0,0,0
43,32,34,1030,0,0,0,0,0
44,34,35,1108,0,0,0,0,0
