tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,3,39,137.30896965274235,0,0,0,0,0,0,0
1,53,47,162.75553214793257,0,0,0,0,0,0,0
2,17,6,122.49574957821993,0,0,0,0,0,0,0
3,19,44,179.87907180993767,0,0,0,0,0,0,0
4,26,53,121.68473956108052,0,0,0,0,0,0,0
5,36,30,168.70847239391108,0,0,0,0,0,0,0
6,56,58,186.11349598629465,0,0,0,0,0,0,0
7,23,34,134.54047038679494,0,0,0,0,0,0,0
8,43,19,172.78559366064175,0,0,0,0,0,0,0
9,22,7,180.50409481670252,0,0,0,0,0,0,0
