LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,55,1180,0,0,0,0,0
1,1,55,1791,0,0,0,0,0
2,2,3,1828,0,0,0,0,0
3,3,53,1169,0,0,0,0,0
4,3,55,1664,0,0,0,0,0
5,4,7,1105,0,0,0,0,0
6,5,7,1248,0,0,0,0,0
7,6,7,1848,0,0,0,0,0
8,7,32,1984,0,0,0,0,0
9,7,33,1407,0,0,0,0,0
10,7,35,1870,0,0,0,0,0
11,7,41,1575,0,0,0,0,0
12,7,10,1384,0,0,0,0,0
13,7,11,1372,0,0,0,0,0
14,7,45,1134,0,0,0,0,0
15,7,46,1256,0,0,0,0,0
16,7,47,1993,0,0,0,0,0
17,7,16,1532,0,0,0,0,0
18,7,17,1859,0,0,0,0,0
19,7,51,1744,0,0,0,0,0
20,7,43,1204,0,0,0,0,0
21,7,55,1383,0,0,0,0,0
22,7,24,1134,0,0,0,0,0
23,7,25,1340,0,0,0,0,0
24,7,27,1958,0,0,0,0,0
25,7,23,1026,0,0,0,0,0
26,8,33,1601,0,0,0,0,0
27,9,33,1487,0,0,0,0,0
28,12,33,1431,0,0,0,0,0
29,13,33,1613,0,0,0,0,0
30,14,41,1308,0,0,0,0,0
31,15,41,1423,0,0,0,0,0
32,18,43,1060,0,0,0,0,0
33,19,43,1951,0,0,0,0,0
34,20,42,1723,0,0,0,0,0
35,20,21,1342,0,0,0,0,0
36,20,22,1453,0,0,0,0,0
37,26,41,1568,0,0,0,0,0
38,27,36,1094,0,0,0,0,0
39,27,37,1620,0,0,0,0,0
40,27,38,1369,0,0,0,0,0
41,27,39,1876,0,0,0,0,0
42,28,33,1305,0,0,0,0,0
43,29,41,1867,0,0,0,0,0
44,30,41,1290,0,0,0,0,0
45,31,33,1019,0,0,0,0,0
46,32,55,1858,0,0,0,0,0
47,34,35,1904,0,0,0,0,0
48,40,41,1107,0,0,0,0,0
49,42,43,1248,0,0,0,0,0
50,43,48,1738,0,0,0,0,0
51,44,51,1022,0,0,0,0,0
52,49,51,1970,0,0,0,0,0
53,50,51,1417,0,0,0,0,0
54,52,55,1018,0,0,0,0,0
55,54,55,1691,0,0,0,0,0
56,55,56,1906,0,0,0,0,0
57,55,57,1309,0,0,0,0,0
58,55,58,1619,0,0,0,0,0
59,55,59,1614,0,0,0,0,0
60,55,60,1923,0,0,0,0,0
61,55,61,1720,0,0,0,0,0
