tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,14,11,181.36721210173044,0,0,0,0,0,0,0
1,14,1,116.78527505137538,0,0,0,0,0,0,0
2,1,3,163.1800317962577,0,0,0,0,0,0,0
3,15,6,214.9441705988388,0,0,0,0,0,0,0
4,11,7,197.92573326446595,0,0,0,0,0,0,0
5,5,12,199.82140482553487,0,0,0,0,0,0,0
6,9,4,147.7284065497445,0,0,0,0,0,0,0
7,3,4,226.15527827852077,0,0,0,0,0,0,0
8,12,1,162.8750636253991,0,0,0,0,0,0,0
9,2,15,215.79115546342717,0,0,0,0,0,0,0
10,9,11,101.55019325707359,0,0,0,0,0,0,0
11,4,12,123.51428639473568,0,0,0,0,0,0,0
12,1,6,167.5093204230369,0,0,0,0,0,0,0
13,1,5,232.1839747399993,0,0,0,0,0,0,0
14,7,13,130.29365310405646,0,0,0,0,0,0,0
15,14,1,210.13822728857426,0,0,0,0,0,0,0
16,15,6,100.90805829391248,0,0,0,0,0,0,0
17,2,7,187.27845778117367,0,0,0,0,0,0,0
18,4,1,156.97996908225292,0,0,0,0,0,0,0
19,8,9,168.13930135284863,0,0,0,0,0,0,0
20,10,13,225.67157201009934,0,0,0,0,0,0,0
21,8,14,173.5169633167057,0,0,0,0,0,0,0
22,4,11,142.89661742729837,0,0,0,0,0,0,0
23,6,4,117.52713698695564,0,0,0,0,0,0,0
24,2,13,194.49628608802044,0,0,0,0,0,0,0
25,3,7,154.85148288362387,0,0,0,0,0,0,0
26,3,5,101.01605289795903,0,0,0,0,0,0,0
27,14,3,156.36620104149497,0,0,0,0,0,0,0
28,14,9,211.62321318302688,0,0,0,0,0,0,0
29,10,4,157.16661400387136,0,0,0,0,0,0,0
30,11,15,162.80733826065932,0,0,0,0,0,0,0
31,13,14,150.98560488573722,0,0,0,0,0,0,0
32,1,15,161.3012736484907,0,0,0,0,0,0,0
33,2,14,210.6923677988826,0,0,0,0,0,0,0
34,4,6,155.7934437695175,0,0,0,0,0,0,0
35,8,11,197.23685297961288,0,0,0,0,0,0,0
36,8,0,100.2516946072573,0,0,0,0,0,0,0
37,3,11,134.3598215218716,0,0,0,0,0,0,0
38,7,0,114.64215809768827,0,0,0,0,0,0,0
39,9,3,145.83488190376397,0,0,0,0,0,0,0
40,7,4,158.41498340752378,0,0,0,0,0,0,0
41,10,3,202.84120654231344,0,0,0,0,0,0,0
42,3,1,107.24119398935726,0,0,0,0,0,0,0
43,10,11,217.3843875720954,0,0,0,0,0,0,0
44,10,5,204.1437520556534,0,0,0,0,0,0,0
45,1,15,226.28137309942565,0,0,0,0,0,0,0
46,0,3,209.45032636204002,0,0,0,0,0,0,0
47,3,14,189.8819922686506,0,0,0,0,0,0,0
48,3,1,185.921980085007,0,0,0,0,0,0,0
49,11,10,202.13448190780997,0,0,0,0,0,0,0
50,3,2,121.32910460727945,0,0,0,0,0,0,0
51,13,5,216.14837917560106,0,0,0,0,0,0,0
52,10,14,176.35116296419403,0,0,0,0,0,0,0
53,2,6,109.11341983924663,0,0,0,0,0,0,0
54,10,0,163.25043406178384,0,0,0,0,0,0,0
55,0,2,169.8149834406277,0,0,0,0,0,0,0
56,15,4,213.45171332687477,0,0,0,0,0,0,0
57,14,7,206.71989674111313,0,0,0,0,0,0,0
58,14,5,127.03547301485199,0,0,0,0,0,0,0
59,5,10,191.31779375245543,0,0,0,0,0,0,0
60,12,7,209.21562208996528,0,0,0,0,0,0,0
61,9,1,149.00483126489794,0,0,0,0,0,0,0
62,1,9,157.24513549666992,0,0,0,0,0,0,0
63,0,8,115.22367919962274,0,0,0,0,0,0,0
64,0,12,203.2510045071811,0,0,0,0,0,0,0
65,3,12,210.25934620799433,0,0,0,0,0,0,0
66,9,10,209.5321391375913,0,0,0,0,0,0,0
67,15,9,180.2708476877583,0,0,0,0,0,0,0
68,7,11,189.8794493827201,0,0,0,0,0,0,0
69,2,0,124.83431785306459,0,0,0,0,0,0,0
70,1,15,129.13164088868814,0,0,0,0,0,0,0
71,8,13,166.942764156834,0,0,0,0,0,0,0
72,12,1,119.23010905977719,0,0,0,0,0,0,0
73,4,5,226.3933499783427,0,0,0,0,0,0,0
74,12,7,111.757616434593,0,0,0,0,0,0,0
75,0,5,121.57701440996787,0,0,0,0,0,0,0
76,0,8,154.08259205218565,0,0,0,0,0,0,0
77,6,15,124.59324692311193,0,0,0,0,0,0,0
78,2,0,139.24006630801816,0,0,0,0,0,0,0
79,13,5,120.30148543209347,0,0,0,0,0,0,0
