tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,0,3,145.1561142399818,0,0,0,0,0,0,0
1,1,6,169.46644439801915,0,0,0,0,0,0,0
2,5,2,104.38839968704417,0,0,0,0,0,0,0
3,4,1,211.22241730334173,0,0,0,0,0,0,0
4,4,7,166.5601217087567,0,0,0,0,0,0,0
5,0,6,123.48124398739624,0,0,0,0,0,0,0
6,5,1,202.08922282995383,0,0,0,0,0,0,0
7,3,0,148.11381833529612,0,0,0,0,0,0,0
8,0,1,115.25520736114356,0,0,0,0,0,0,0
9,0,6,133.45811189786505,0,0,0,0,0,0,0
10,4,7,187.29450284725812,0,0,0,0,0,0,0
11,6,4,197.7800509743609,0,0,0,0,0,0,0
12,7,6,167.6763492593021,0,0,0,0,0,0,0
13,6,5,177.59923530590794,0,0,0,0,0,0,0
14,6,2,126.31545436440118,0,0,0,0,0,0,0
15,6,5,201.09028925893145,0,0,0,0,0,0,0
16,1,0,233.32613779322466,0,0,0,0,0,0,0
17,0,6,189.4321124452677,0,0,0,0,0,0,0
18,4,1,155.0071069492313,0,0,0,0,0,0,0
19,2,5,168.91639261162743,0,0,0,0,0,0,0
20,2,6,165.23879141432855,0,0,0,0,0,0,0
21,4,1,199.39897649667614,0,0,0,0,0,0,0
22,5,1,132.25509996910426,0,0,0,0,0,0,0
23,1,0,121.17933894901356,0,0,0,0,0,0,0
24,4,7,172.35746994120166,0,0,0,0,0,0,0
25,5,6,200.4004219729195,0,0,0,0,0,0,0
26,0,4,201.80904005691264,0,0,0,0,0,0,0
27,5,3,221.41271277115348,0,0,0,0,0,0,0
28,5,7,182.87224004940322,0,0,0,0,0,0,0
29,1,4,184.6565302789928,0,0,0,0,0,0,0
30,6,2,184.11452291564666,0,0,0,0,0,0,0
31,1,6,182.4078203216087,0,0,0,0,0,0,0
32,5,4,159.5680351321626,0,0,0,0,0,0,0
33,4,0,182.7935971596689,0,0,0,0,0,0,0
34,0,3,182.5140116156279,0,0,0,0,0,0,0
35,1,6,196.69391643804,0,0,0,0,0,0,0
36,4,6,189.23080888425744,0,0,0,0,0,0,0
37,2,3,170.22036806257785,0,0,0,0,0,0,0
38,5,3,163.52725739127106,0,0,0,0,0,0,0
39,7,4,211.53139634667815,0,0,0,0,0,0,0
40,3,1,132.3090475399405,0,0,0,0,0,0,0
41,5,0,181.30470064823754,0,0,0,0,0,0,0
42,0,2,244.89680153663087,0,0,0,0,0,0,0
43,7,3,175.37114143301005,0,0,0,0,0,0,0
44,1,2,124.78725045162372,0,0,0,0,0,0,0
45,4,0,162.2754782177628,0,0,0,0,0,0,0
46,6,1,167.5030344182888,0,0,0,0,0,0,0
47,6,1,209.87312381501977,0,0,0,0,0,0,0
48,2,0,141.09287549078726,0,0,0,0,0,0,0
49,5,4,122.68087082206944,0,0,0,0,0,0,0
50,2,0,103.01878528895931,0,0,0,0,0,0,0
51,5,2,138.90310683885662,0,0,0,0,0,0,0
52,2,7,209.18326544491146,0,0,0,0,0,0,0
53,6,3,211.22804394606823,0,0,0,0,0,0,0
54,1,6,220.294952061734,0,0,0,0,0,0,0
55,1,3,148.26528473820343,0,0,0,0,0,0,0
56,0,5,198.63441775433108,0,0,0,0,0,0,0
57,2,7,155.5529550283008,0,0,0,0,0,0,0
58,2,7,162.90646923051145,0,0,0,0,0,0,0
59,5,4,135.70264870725245,0,0,0,0,0,0,0
60,4,5,164.52671593211744,0,0,0,0,0,0,0
61,6,1,208.9202555724205,0,0,0,0,0,0,0
62,7,6,208.503833711222,0,0,0,0,0,0,0
63,3,4,192.96025777958295,0,0,0,0,0,0,0
64,5,2,102.34669813284255,0,0,0,0,0,0,0
65,1,4,117.58329184420305,0,0,0,0,0,0,0
66,1,6,107.18130803166967,0,0,0,0,0,0,0
67,7,5,139.86928757750442,0,0,0,0,0,0,0
68,6,5,133.412432143896,0,0,0,0,0,0,0
69,2,6,173.39492436660208,0,0,0,0,0,0,0
70,7,5,125.26701931518079,0,0,0,0,0,0,0
71,1,2,189.618529102902,0,0,0,0,0,0,0
72,0,7,201.75797676327085,0,0,0,0,0,0,0
73,6,4,113.46767361036957,0,0,0,0,0,0,0
74,3,7,191.05444221917958,0,0,0,0,0,0,0
75,7,1,157.8843208620201,0,0,0,0,0,0,0
76,4,6,138.73301113872338,0,0,0,0,0,0,0
77,4,5,146.09293060566716,0,0,0,0,0,0,0
78,6,4,167.6213091414059,0,0,0,0,0,0,0
79,5,1,125.53804603407309,0,0,0,0,0,0,0
