tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,11,7,123.72399501312641,0,0,0,0,0,0,0
1,17,15,125.56959921009788,0,0,0,0,0,0,0
2,16,7,120.76472646541454,0,0,0,0,0,0,0
3,3,10,144.4594545978499,0,0,0,0,0,0,0
4,21,7,164.85751113921924,0,0,0,0,0,0,0
5,7,24,190.44515359440805,0,0,0,0,0,0,0
6,25,0,184.27508433173875,0,0,0,0,0,0,0
7,8,10,193.58458792328577,0,0,0,0,0,0,0
8,18,20,102.93008898279656,0,0,0,0,0,0,0
9,26,0,141.06427021852969,0,0,0,0,0,0,0
