LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,25,1583,0,0,0,0,0
1,0,3,1513,0,0,0,0,0
2,0,5,1643,0,0,0,0,0
3,1,9,1926,0,0,0,0,0
4,1,2,1127,0,0,0,0,0
5,1,6,1891,0,0,0,0,0
6,2,3,1874,0,0,0,0,0
7,2,7,1703,0,0,0,0,0
8,2,17,1957,0,0,0,0,0
9,2,18,1465,0,0,0,0,0
10,2,20,1832,0,0,0,0,0
11,3,6,1117,0,0,0,0,0
12,3,9,1908,0,0,0,0,0
13,3,16,1423,0,0,0,0,0
14,3,19,1428,0,0,0,0,0
15,3,21,1046,0,0,0,0,0
16,3,26,1463,0,0,0,0,0
17,4,7,1602,0,0,0,0,0
18,5,8,1479,0,0,0,0,0
19,6,7,1180,0,0,0,0,0
20,8,9,1547,0,0,0,0,0
21,8,10,1704,0,0,0,0,0
22,8,13,1880,0,0,0,0,0
23,9,12,1210,0,0,0,0,0
24,9,13,1123,0,0,0,0,0
25,11,16,1284,0,0,0,0,0
26,14,20,1507,0,0,0,0,0
27,15,16,1428,0,0,0,0,0
28,16,20,1184,0,0,0,0,0
29,17,18,1308,0,0,0,0,0
30,17,26,1869,0,0,0,0,0
31,19,20,1752,0,0,0,0,0
32,20,21,1431,0,0,0,0,0
33,20,26,1601,0,0,0,0,0
34,21,22,1605,0,0,0,0,0
35,21,23,1463,0,0,0,0,0
36,21,24,1015,0,0,0,0,0
37,21,25,1356,0,0,0,0,0
