tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,5,0,129.86293647704466,0,0,0,0,0,0,0
1,6,1,156.54495514933848,0,0,0,0,0,0,0
2,5,0,161.0559270687415,0,0,0,0,0,0,0
3,1,0,128.81503749247457,0,0,0,0,0,0,0
4,5,3,205.56653526537764,0,0,0,0,0,0,0
5,1,6,205.13672299052712,0,0,0,0,0,0,0
6,6,0,134.7836815257815,0,0,0,0,0,0,0
7,0,1,117.49950186737138,0,0,0,0,0,0,0
8,3,1,105.04465284988862,0,0,0,0,0,0,0
9,4,5,130.85619586602678,0,0,0,0,0,0,0
10,5,1,161.7785049432635,0,0,0,0,0,0,0
11,2,3,153.91672133143786,0,0,0,0,0,0,0
12,0,6,120.51267346273814,0,0,0,0,0,0,0
13,6,4,192.47733821004016,0,0,0,0,0,0,0
14,1,0,214.34347665212937,0,0,0,0,0,0,0
15,4,1,103.08930763835619,0,0,0,0,0,0,0
16,2,3,154.35656486243798,0,0,0,0,0,0,0
17,4,5,208.13082667212805,0,0,0,0,0,0,0
18,6,4,116.19655829173685,0,0,0,0,0,0,0
19,3,4,125.82549744699517,0,0,0,0,0,0,0
20,2,5,197.80390319404995,0,0,0,0,0,0,0
21,3,4,162.9684860275635,0,0,0,0,0,0,0
22,5,1,159.05127257116044,0,0,0,0,0,0,0
23,3,0,150.08079706833277,0,0,0,0,0,0,0
24,4,3,172.99967036073107,0,0,0,0,0,0,0
25,6,3,134.22202006804642,0,0,0,0,0,0,0
26,1,2,189.34020186257737,0,0,0,0,0,0,0
27,3,2,167.6883191755179,0,0,0,0,0,0,0
28,3,6,146.40692063078825,0,0,0,0,0,0,0
29,1,2,160.3855856732661,0,0,0,0,0,0,0
30,4,1,130.06947172390102,0,0,0,0,0,0,0
31,2,3,207.55054897977772,0,0,0,0,0,0,0
32,5,1,184.71850943230285,0,0,0,0,0,0,0
33,3,1,195.60402882751634,0,0,0,0,0,0,0
34,3,2,127.7357487287061,0,0,0,0,0,0,0
35,5,4,197.32268681153062,0,0,0,0,0,0,0
36,0,5,135.79065910413033,0,0,0,0,0,0,0
37,2,1,142.7940858937593,0,0,0,0,0,0,0
38,6,5,127.37643546935003,0,0,0,0,0,0,0
39,1,0,218.52005589024884,0,0,0,0,0,0,0
