LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1924,0,0,0,0,0
1,0,2,1749,0,0,0,0,0
2,0,3,1972,0,0,0,0,0
3,0,4,1932,0,0,0,0,0
4,0,5,1864,0,0,0,0,0
5,0,6,1207,0,0,0,0,0
6,0,7,1141,0,0,0,0,0
7,0,8,1809,0,0,0,0,0
8,1,2,1263,0,0,0,0,0
9,1,3,1276,0,0,0,0,0
10,1,4,1003,0,0,0,0,0
11,1,5,1605,0,0,0,0,0
12,1,6,1916,0,0,0,0,0
13,1,7,1519,0,0,0,0,0
14,1,8,1920,0,0,0,0,0
15,2,3,1553,0,0,0,0,0
16,2,4,1804,0,0,0,0,0
17,2,5,1812,0,0,0,0,0
18,2,6,1219,0,0,0,0,0
19,2,7,1363,0,0,0,0,0
20,2,8,1693,0,0,0,0,0
21,3,4,1544,0,0,0,0,0
22,3,5,1254,0,0,0,0,0
23,3,6,1375,0,0,0,0,0
24,3,7,1490,0,0,0,0,0
25,3,8,1001,0,0,0,0,0
26,4,5,1990,0,0,0,0,0
27,4,6,1692,0,0,0,0,0
28,4,7,1026,0,0,0,0,0
29,4,8,1914,0,0,0,0,0
30,5,6,1962,0,0,0,0,0
31,5,7,1045,0,0,0,0,0
32,5,8,1286,0,0,0,0,0
33,6,7,1757,0,0,0,0,0
34,6,8,1487,0,0,0,0,0
35,7,8,1163,0,0,0,0,0
