tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,0,4,121.92687162059806,0,0,0,0,0,0,0
1,7,8,172.54569719857165,0,0,0,0,0,0,0
2,3,8,167.41747232899633,0,0,0,0,0,0,0
3,5,8,152.7912103674339,0,0,0,0,0,0,0
4,0,4,123.03408122064249,0,0,0,0,0,0,0
5,4,0,126.7808072649657,0,0,0,0,0,0,0
6,2,8,132.96832578698707,0,0,0,0,0,0,0
7,8,0,165.3984017859088,0,0,0,0,0,0,0
8,5,3,215.45507168221053,0,0,0,0,0,0,0
9,5,4,214.37315027609418,0,0,0,0,0,0,0
10,7,6,121.23121089946125,0,0,0,0,0,0,0
11,8,4,231.15638421804445,0,0,0,0,0,0,0
12,3,1,210.600318472405,0,0,0,0,0,0,0
13,0,3,196.64517192315498,0,0,0,0,0,0,0
14,8,2,192.64649981030107,0,0,0,0,0,0,0
15,7,0,137.01377017050484,0,0,0,0,0,0,0
16,2,8,132.8494608804237,0,0,0,0,0,0,0
17,0,5,182.73164215610416,0,0,0,0,0,0,0
18,5,6,196.8237133205627,0,0,0,0,0,0,0
19,8,2,117.93147251098625,0,0,0,0,0,0,0
20,0,3,131.5580609765546,0,0,0,0,0,0,0
21,1,6,205.5653165446729,0,0,0,0,0,0,0
22,3,5,111.01038000107609,0,0,0,0,0,0,0
23,0,2,199.5806967002241,0,0,0,0,0,0,0
24,0,8,166.70140607933888,0,0,0,0,0,0,0
25,3,7,184.15981978237812,0,0,0,0,0,0,0
26,7,0,203.42595513885362,0,0,0,0,0,0,0
27,7,0,118.71844918503957,0,0,0,0,0,0,0
28,8,1,152.8255561628085,0,0,0,0,0,0,0
29,5,0,210.69881798339986,0,0,0,0,0,0,0
30,8,5,142.76050783091887,0,0,0,0,0,0,0
31,7,3,105.81607908269987,0,0,0,0,0,0,0
32,7,5,103.12920570538647,0,0,0,0,0,0,0
33,5,2,126.92820277512138,0,0,0,0,0,0,0
34,5,7,150.76959305840023,0,0,0,0,0,0,0
35,3,8,192.72710220068942,0,0,0,0,0,0,0
36,4,0,215.41516543105632,0,0,0,0,0,0,0
37,4,1,138.45059743365968,0,0,0,0,0,0,0
38,2,4,190.68214383726976,0,0,0,0,0,0,0
39,0,3,227.34816856588537,0,0,0,0,0,0,0
40,3,6,113.94248671994686,0,0,0,0,0,0,0
41,2,6,117.71064762112614,0,0,0,0,0,0,0
42,2,6,158.25347142039942,0,0,0,0,0,0,0
43,2,1,188.82051174188953,0,0,0,0,0,0,0
44,0,1,139.53710550222863,0,0,0,0,0,0,0
45,1,5,150.98852025280866,0,0,0,0,0,0,0
46,6,3,208.27022964075115,0,0,0,0,0,0,0
47,5,3,206.3391832931099,0,0,0,0,0,0,0
48,7,1,221.83315041306935,0,0,0,0,0,0,0
49,0,1,160.29111608995888,0,0,0,0,0,0,0
50,4,0,208.73566869753103,0,0,0,0,0,0,0
51,2,8,225.7868792713225,0,0,0,0,0,0,0
52,4,2,124.73018375416119,0,0,0,0,0,0,0
53,3,6,184.18850570503176,0,0,0,0,0,0,0
54,1,4,102.39777902786646,0,0,0,0,0,0,0
55,1,5,158.4044908468029,0,0,0,0,0,0,0
56,1,8,199.7998264501751,0,0,0,0,0,0,0
57,6,3,140.51421687855657,0,0,0,0,0,0,0
58,6,2,127.4872531766238,0,0,0,0,0,0,0
59,5,1,215.66147731163755,0,0,0,0,0,0,0
60,2,7,176.0929141022557,0,0,0,0,0,0,0
61,7,4,141.57244675359198,0,0,0,0,0,0,0
62,3,8,115.78612480999617,0,0,0,0,0,0,0
63,1,5,107.17996265036297,0,0,0,0,0,0,0
64,2,3,112.29912161778367,0,0,0,0,0,0,0
65,7,4,212.84259051718857,0,0,0,0,0,0,0
66,4,8,170.13026197424466,0,0,0,0,0,0,0
67,1,8,126.73580001224063,0,0,0,0,0,0,0
68,7,8,153.29949035573347,0,0,0,0,0,0,0
69,6,8,102.9474039157709,0,0,0,0,0,0,0
70,5,8,156.94993712332365,0,0,0,0,0,0,0
71,1,0,111.59169841377619,0,0,0,0,0,0,0
72,2,0,205.876141517513,0,0,0,0,0,0,0
73,2,7,107.46473506668407,0,0,0,0,0,0,0
74,0,4,203.14932251140235,0,0,0,0,0,0,0
75,7,0,180.038618424233,0,0,0,0,0,0,0
76,0,8,200.77416249583047,0,0,0,0,0,0,0
77,1,0,183.2414268407872,0,0,0,0,0,0,0
78,7,8,199.50961856328345,0,0,0,0,0,0,0
79,7,3,154.7850199142985,0,0,0,0,0,0,0
