tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,3,10,144.46558673172353,0,0,0,0,0,0,0
1,0,8,170.04740903164767,0,0,0,0,0,0,0
2,8,13,112.7286998066526,0,0,0,0,0,0,0
3,11,13,225.72856686703736,0,0,0,0,0,0,0
4,11,0,111.60058391531004,0,0,0,0,0,0,0
5,4,16,120.53336697795623,0,0,0,0,0,0,0
6,1,2,191.89060689452188,0,0,0,0,0,0,0
7,1,9,111.51723210455015,0,0,0,0,0,0,0
8,7,14,171.76065370500612,0,0,0,0,0,0,0
9,11,4,131.79902764667096,0,0,0,0,0,0,0
10,11,5,212.55625766641026,0,0,0,0,0,0,0
11,7,3,209.67838545803465,0,0,0,0,0,0,0
12,2,10,187.5808589195266,0,0,0,0,0,0,0
13,11,6,216.10743176241624,0,0,0,0,0,0,0
14,10,4,196.53306259281925,0,0,0,0,0,0,0
15,9,11,156.3355093429956,0,0,0,0,0,0,0
16,0,11,209.85591364344293,0,0,0,0,0,0,0
17,15,16,188.10287235867804,0,0,0,0,0,0,0
18,11,4,184.57142528801202,0,0,0,0,0,0,0
19,15,6,114.72350236216175,0,0,0,0,0,0,0
20,3,9,201.16632057669912,0,0,0,0,0,0,0
21,6,12,151.74926824543883,0,0,0,0,0,0,0
22,2,4,190.75701023681668,0,0,0,0,0,0,0
23,14,12,231.07942922993382,0,0,0,0,0,0,0
24,7,6,178.77943934308146,0,0,0,0,0,0,0
25,4,16,204.22679234220183,0,0,0,0,0,0,0
26,9,5,180.37824689324896,0,0,0,0,0,0,0
27,16,0,150.94852348293404,0,0,0,0,0,0,0
28,11,4,135.11435753697663,0,0,0,0,0,0,0
29,4,16,165.3530994535497,0,0,0,0,0,0,0
30,14,3,185.84409936699177,0,0,0,0,0,0,0
31,14,13,191.19444131419786,0,0,0,0,0,0,0
32,8,15,152.21616628068517,0,0,0,0,0,0,0
33,9,10,197.5669247434607,0,0,0,0,0,0,0
34,8,16,102.41170115507595,0,0,0,0,0,0,0
35,14,5,170.03047374792064,0,0,0,0,0,0,0
36,6,4,142.59082827076787,0,0,0,0,0,0,0
37,4,1,140.3563508116748,0,0,0,0,0,0,0
38,8,13,198.74257343558338,0,0,0,0,0,0,0
39,6,2,111.15971896686696,0,0,0,0,0,0,0
