LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,3,1200,0,0,0,0,0
1,0,7,1416,0,0,0,0,0
2,1,9,1588,0,0,0,0,0
3,1,15,1030,0,0,0,0,0
4,2,12,1226,0,0,0,0,0
5,2,5,1021,0,0,0,0,0
6,2,7,1035,0,0,0,0,0
7,3,9,1343,0,0,0,0,0
8,3,15,1457,0,0,0,0,0
9,4,9,1234,0,0,0,0,0
10,4,12,1272,0,0,0,0,0
11,4,15,1481,0,0,0,0,0
12,5,9,1298,0,0,0,0,0
13,5,12,1788,0,0,0,0,0
14,5,6,1527,0,0,0,0,0
15,5,15,1782,0,0,0,0,0
16,7,8,1676,0,0,0,0,0
17,7,12,1070,0,0,0,0,0
18,7,15,1762,0,0,0,0,0
19,9,10,1230,0,0,0,0,0
20,9,11,1544,0,0,0,0,0
21,9,12,1548,0,0,0,0,0
22,9,14,1622,0,0,0,0,0
23,9,15,1936,0,0,0,0,0
24,10,12,1452,0,0,0,0,0
25,11,12,1097,0,0,0,0,0
26,12,14,1424,0,0,0,0,0
27,12,15,1653,0,0,0,0,0
28,13,14,1913,0,0,0,0,0
29,14,15,1941,0,0,0,0,0
30,15,16,1430,0,0,0,0,0
