tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,4,5,206.98891561655137,0,0,0,0,0,0,0
1,6,2,108.96204943311747,0,0,0,0,0,0,0
2,1,6,146.26679735148184,0,0,0,0,0,0,0
3,3,7,131.6503377667653,0,0,0,0,0,0,0
4,4,5,106.92144822739078,0,0,0,0,0,0,0
5,5,2,167.88692632980263,0,0,0,0,0,0,0
6,3,8,193.34628220879355,0,0,0,0,0,0,0
7,1,0,108.8446806706342,0,0,0,0,0,0,0
8,7,0,153.35641883877742,0,0,0,0,0,0,0
9,3,5,108.77160198050501,0,0,0,0,0,0,0
10,0,8,228.2251309823114,0,0,0,0,0,0,0
11,2,6,204.4580404961195,0,0,0,0,0,0,0
12,8,7,156.94701438552664,0,0,0,0,0,0,0
13,2,7,160.24273200932325,0,0,0,0,0,0,0
14,8,1,159.85080880239084,0,0,0,0,0,0,0
15,2,3,135.60132482420445,0,0,0,0,0,0,0
16,8,6,114.68246687988625,0,0,0,0,0,0,0
17,0,5,100.50289874731999,0,0,0,0,0,0,0
18,4,8,170.32353166018552,0,0,0,0,0,0,0
19,1,3,172.29090978316503,0,0,0,0,0,0,0
20,2,0,197.22919342564677,0,0,0,0,0,0,0
21,0,4,142.2153094797008,0,0,0,0,0,0,0
22,2,8,216.06634762800897,0,0,0,0,0,0,0
23,8,6,133.35634010359394,0,0,0,0,0,0,0
24,1,4,114.6779094927964,0,0,0,0,0,0,0
25,3,7,211.4903603277189,0,0,0,0,0,0,0
26,1,7,191.5082756621453,0,0,0,0,0,0,0
27,2,8,175.6861718482765,0,0,0,0,0,0,0
28,1,5,127.27722823878733,0,0,0,0,0,0,0
29,0,6,124.39653238235624,0,0,0,0,0,0,0
30,5,7,131.0228222305438,0,0,0,0,0,0,0
31,1,3,109.51131434212002,0,0,0,0,0,0,0
32,7,3,186.63541736027696,0,0,0,0,0,0,0
33,2,8,114.44994568877792,0,0,0,0,0,0,0
34,8,7,204.58834141852924,0,0,0,0,0,0,0
35,2,8,177.45718352311053,0,0,0,0,0,0,0
36,0,3,239.599401623746,0,0,0,0,0,0,0
37,3,1,199.60287677534114,0,0,0,0,0,0,0
38,5,7,186.87879109456088,0,0,0,0,0,0,0
39,6,1,213.95503657066544,0,0,0,0,0,0,0
