tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,9,8,112.57823575209751,0,0,0,0,0,0,0
1,4,6,234.110197882677,0,0,0,0,0,0,0
2,20,11,221.3964059547509,0,0,0,0,0,0,0
3,3,4,125.02097284814337,0,0,0,0,0,0,0
4,19,10,177.0642564502187,0,0,0,0,0,0,0
5,30,4,235.71800942606944,0,0,0,0,0,0,0
6,25,3,157.49689018703867,0,0,0,0,0,0,0
7,13,31,198.65858551850062,0,0,0,0,0,0,0
8,31,5,145.27043582434032,0,0,0,0,0,0,0
9,23,28,192.35531303602295,0,0,0,0,0,0,0
10,23,10,168.14124206806258,0,0,0,0,0,0,0
11,16,26,114.19390226760648,0,0,0,0,0,0,0
12,6,20,171.01606478311373,0,0,0,0,0,0,0
13,9,26,164.82732890981765,0,0,0,0,0,0,0
14,2,18,145.067751457904,0,0,0,0,0,0,0
15,12,7,137.07709393257818,0,0,0,0,0,0,0
16,7,14,138.21258485342588,0,0,0,0,0,0,0
17,17,24,176.94333056340275,0,0,0,0,0,0,0
18,29,18,207.6191883464819,0,0,0,0,0,0,0
19,26,3,219.04195405322346,0,0,0,0,0,0,0
20,5,29,201.63587368190446,0,0,0,0,0,0,0
21,20,31,149.53661712221523,0,0,0,0,0,0,0
22,14,22,222.4683540016499,0,0,0,0,0,0,0
23,3,18,178.99737789275275,0,0,0,0,0,0,0
24,13,6,148.59285372258617,0,0,0,0,0,0,0
25,23,5,177.95368506635273,0,0,0,0,0,0,0
26,23,19,127.99959697088268,0,0,0,0,0,0,0
27,23,29,116.03403499045432,0,0,0,0,0,0,0
28,28,20,120.67539425058264,0,0,0,0,0,0,0
29,15,22,173.16738898383466,0,0,0,0,0,0,0
30,25,13,110.75632406049256,0,0,0,0,0,0,0
31,7,5,218.84223825137104,0,0,0,0,0,0,0
32,29,31,151.008748424346,0,0,0,0,0,0,0
33,19,27,106.10877125040365,0,0,0,0,0,0,0
34,27,26,195.16938839025568,0,0,0,0,0,0,0
35,14,20,216.16884423170092,0,0,0,0,0,0,0
36,22,20,125.29399094933768,0,0,0,0,0,0,0
37,12,29,140.2683885272936,0,0,0,0,0,0,0
38,22,20,207.4532664513493,0,0,0,0,0,0,0
39,5,4,122.53356389040971,0,0,0,0,0,0,0
