LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,3,1767,0,0,0,0,0
1,1,6,1476,0,0,0,0,0
2,2,12,1802,0,0,0,0,0
3,2,23,1279,0,0,0,0,0
4,3,22,1771,0,0,0,0,0
5,3,23,1281,0,0,0,0,0
6,4,5,1750,0,0,0,0,0
7,4,6,1365,0,0,0,0,0
8,5,9,1603,0,0,0,0,0
9,6,30,1805,0,0,0,0,0
10,6,7,1120,0,0,0,0,0
11,8,9,1367,0,0,0,0,0
12,9,17,1979,0,0,0,0,0
13,9,18,1270,0,0,0,0,0
14,10,11,1413,0,0,0,0,0
15,11,28,1189,0,0,0,0,0
16,11,26,1992,0,0,0,0,0
17,11,30,1711,0,0,0,0,0
18,12,27,1764,0,0,0,0,0
19,13,30,1118,0,0,0,0,0
20,14,24,1220,0,0,0,0,0
21,14,25,1566,0,0,0,0,0
22,14,20,1860,0,0,0,0,0
23,14,15,1685,0,0,0,0,0
24,15,16,1145,0,0,0,0,0
25,16,17,1879,0,0,0,0,0
26,19,30,1380,0,0,0,0,0
27,21,25,1542,0,0,0,0,0
28,22,30,1142,0,0,0,0,0
29,25,26,1333,0,0,0,0,0
30,27,28,1625,0,0,0,0,0
31,29,30,1840,0,0,0,0,0
32,30,31,1988,0,0,0,0,0
