LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1324,0,0,0,0,0
1,0,3,1821,0,0,0,0,0
2,0,6,1977,0,0,0,0,0
3,0,9,1456,0,0,0,0,0
4,0,18,1369,0,0,0,0,0
5,0,21,1548,0,0,0,0,0
6,0,22,1950,0,0,0,0,0
7,1,14,1010,0,0,0,0,0
8,2,24,1238,0,0,0,0,0
9,2,3,1097,0,0,0,0,0
10,4,16,1235,0,0,0,0,0
11,4,5,1110,0,0,0,0,0
12,5,8,1620,0,0,0,0,0
13,6,7,1632,0,0,0,0,0
14,7,11,1556,0,0,0,0,0
15,8,9,1583,0,0,0,0,0
16,8,31,1253,0,0,0,0,0
17,10,16,1571,0,0,0,0,0
18,10,11,1722,0,0,0,0,0
19,10,19,1007,0,0,0,0,0
20,10,20,1057,0,0,0,0,0
21,11,17,1510,0,0,0,0,0
22,11,15,1948,0,0,0,0,0
23,12,31,1276,0,0,0,0,0
24,13,25,1584,0,0,0,0,0
25,13,14,1570,0,0,0,0,0
26,13,23,1625,0,0,0,0,0
27,17,18,1113,0,0,0,0,0
28,23,24,1064,0,0,0,0,0
29,23,32,1813,0,0,0,0,0
30,25,26,1678,0,0,0,0,0
31,26,27,1429,0,0,0,0,0
32,27,28,1051,0,0,0,0,0
33,28,29,1913,0,0,0,0,0
34,29,32,1701,0,0,0,0,0
35,30,31,1497,0,0,0,0,0
36,31,32,1939,0,0,0,0,0
