tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,23,6,134.50017620824718,0,0,0,0,0,0,0
1,32,7,141.44046165285687,0,0,0,0,0,0,0
2,12,32,151.67736108406945,0,0,0,0,0,0,0
3,2,0,105.92064205266435,0,0,0,0,0,0,0
4,5,29,177.78784068807641,0,0,0,0,0,0,0
5,30,6,208.7828497482401,0,0,0,0,0,0,0
6,5,15,194.5799714133664,0,0,0,0,0,0,0
7,29,24,149.44337292919914,0,0,0,0,0,0,0
8,17,16,107.31255746337428,0,0,0,0,0,0,0
9,16,21,159.16193386378995,0,0,0,0,0,0,0
10,30,14,115.92381674674935,0,0,0,0,0,0,0
11,32,17,136.53697730555805,0,0,0,0,0,0,0
12,8,23,213.42522929554747,0,0,0,0,0,0,0
13,26,14,184.92590626908787,0,0,0,0,0,0,0
14,1,10,202.22766432212927,0,0,0,0,0,0,0
15,31,13,187.06805398913872,0,0,0,0,0,0,0
16,32,0,205.65273094792278,0,0,0,0,0,0,0
17,32,11,118.41145336179781,0,0,0,0,0,0,0
18,30,31,179.77509847058528,0,0,0,0,0,0,0
19,14,26,222.0203194341242,0,0,0,0,0,0,0
20,3,2,230.3637214899599,0,0,0,0,0,0,0
21,5,0,127.74661735362807,0,0,0,0,0,0,0
22,3,12,101.13714253903434,0,0,0,0,0,0,0
23,27,12,192.68889406065955,0,0,0,0,0,0,0
24,14,19,133.1675505742104,0,0,0,0,0,0,0
25,6,7,115.97485678893008,0,0,0,0,0,0,0
26,7,0,184.04120999512594,0,0,0,0,0,0,0
27,32,29,179.45801326597487,0,0,0,0,0,0,0
28,26,5,211.6591348383155,0,0,0,0,0,0,0
29,2,25,100.08007541108472,0,0,0,0,0,0,0
30,22,16,156.11341178501388,0,0,0,0,0,0,0
31,1,11,102.53360148771459,0,0,0,0,0,0,0
32,0,25,105.30329056357374,0,0,0,0,0,0,0
33,32,12,217.88406026568316,0,0,0,0,0,0,0
34,13,0,136.2317514571652,0,0,0,0,0,0,0
35,2,8,118.33566137890588,0,0,0,0,0,0,0
36,11,26,219.18531649406683,0,0,0,0,0,0,0
37,17,8,225.02793169680842,0,0,0,0,0,0,0
38,23,30,131.81864872845324,0,0,0,0,0,0,0
39,24,1,200.58077229934668,0,0,0,0,0,0,0
40,0,16,149.85282097391377,0,0,0,0,0,0,0
41,10,8,195.48912593530113,0,0,0,0,0,0,0
42,1,20,221.77308264828918,0,0,0,0,0,0,0
43,5,11,104.91567579175681,0,0,0,0,0,0,0
44,4,31,121.27641222890799,0,0,0,0,0,0,0
45,30,9,110.81461158084517,0,0,0,0,0,0,0
46,2,1,123.99162527439718,0,0,0,0,0,0,0
47,17,5,106.43490028864613,0,0,0,0,0,0,0
48,18,3,108.74122577317354,0,0,0,0,0,0,0
49,24,29,217.89223625321,0,0,0,0,0,0,0
50,29,15,105.66497305000735,0,0,0,0,0,0,0
51,27,0,225.87145224948628,0,0,0,0,0,0,0
52,14,13,131.93096633265412,0,0,0,0,0,0,0
53,8,16,199.08860850105924,0,0,0,0,0,0,0
54,26,20,209.08964776934073,0,0,0,0,0,0,0
55,32,16,182.29340122679673,0,0,0,0,0,0,0
56,23,28,204.4267561027783,0,0,0,0,0,0,0
57,22,24,121.26606545560834,0,0,0,0,0,0,0
58,29,30,165.89085598388402,0,0,0,0,0,0,0
59,13,15,139.15251144570297,0,0,0,0,0,0,0
60,15,13,210.76524251650022,0,0,0,0,0,0,0
61,13,31,119.15698088793305,0,0,0,0,0,0,0
62,15,2,198.9105362590683,0,0,0,0,0,0,0
63,11,22,157.0735239241076,0,0,0,0,0,0,0
64,8,7,146.49187619996175,0,0,0,0,0,0,0
65,1,11,108.77163097325062,0,0,0,0,0,0,0
66,30,11,140.0922038490729,0,0,0,0,0,0,0
67,7,6,147.42204461628262,0,0,0,0,0,0,0
68,31,5,107.70385217656163,0,0,0,0,0,0,0
69,11,31,174.86671405636787,0,0,0,0,0,0,0
70,28,4,139.14323170889455,0,0,0,0,0,0,0
71,24,13,225.17742872986148,0,0,0,0,0,0,0
72,12,8,189.54524888902253,0,0,0,0,0,0,0
73,32,15,159.9223516091025,0,0,0,0,0,0,0
74,27,24,179.94262157216164,0,0,0,0,0,0,0
75,10,1,167.04884426937195,0,0,0,0,0,0,0
76,0,3,182.04787613449477,0,0,0,0,0,0,0
77,27,11,216.75968696263715,0,0,0,0,0,0,0
78,2,16,227.6759493699971,0,0,0,0,0,0,0
79,28,3,186.5516670537147,0,0,0,0,0,0,0
