LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,2,1278,0,0,0,0,0
1,0,3,1335,0,0,0,0,0
2,0,5,1927,0,0,0,0,0
3,1,4,1647,0,0,0,0,0
4,1,7,1277,0,0,0,0,0
5,2,5,1231,0,0,0,0,0
6,2,7,1013,0,0,0,0,0
7,4,10,1048,0,0,0,0,0
8,4,6,1286,0,0,0,0,0
9,4,7,1934,0,0,0,0,0
10,6,10,1757,0,0,0,0,0
11,6,7,1109,0,0,0,0,0
12,6,15,1309,0,0,0,0,0
13,8,9,1549,0,0,0,0,0
14,8,14,1966,0,0,0,0,0
15,9,10,1923,0,0,0,0,0
16,11,12,1113,0,0,0,0,0
17,11,14,1374,0,0,0,0,0
18,12,13,1734,0,0,0,0,0
19,12,15,1880,0,0,0,0,0
20,13,14,1347,0,0,0,0,0
