tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,9,4,196.27150490647324,0,0,0,0,0,0,0
1,11,8,181.84098783464614,0,0,0,0,0,0,0
2,5,4,220.8575633705808,0,0,0,0,0,0,0
3,9,3,165.32114486530722,0,0,0,0,0,0,0
4,15,7,146.2128364667124,0,0,0,0,0,0,0
5,10,8,121.79685817426699,0,0,0,0,0,0,0
6,1,2,184.52110556308887,0,0,0,0,0,0,0
7,7,3,106.30415900840947,0,0,0,0,0,0,0
8,6,11,155.52004754002374,0,0,0,0,0,0,0
9,12,8,117.52629694382753,0,0,0,0,0,0,0
10,6,8,102.41835805410496,0,0,0,0,0,0,0
11,0,9,140.4547532143199,0,0,0,0,0,0,0
12,14,12,197.85971705708693,0,0,0,0,0,0,0
13,14,15,126.92201572822233,0,0,0,0,0,0,0
14,15,8,195.29444121905266,0,0,0,0,0,0,0
15,2,1,248.35058494923382,0,0,0,0,0,0,0
16,14,15,219.54382324032434,0,0,0,0,0,0,0
17,1,2,170.736278971599,0,0,0,0,0,0,0
18,6,3,135.3400010674648,0,0,0,0,0,0,0
19,11,6,203.18639020209338,0,0,0,0,0,0,0
20,12,9,179.73054415855967,0,0,0,0,0,0,0
21,10,13,158.08357527408026,0,0,0,0,0,0,0
22,2,9,174.8479190984053,0,0,0,0,0,0,0
23,6,13,163.54990432166213,0,0,0,0,0,0,0
24,6,7,128.1619195688924,0,0,0,0,0,0,0
25,2,12,240.00649887499637,0,0,0,0,0,0,0
26,6,10,131.21534625311355,0,0,0,0,0,0,0
27,0,1,111.26066283919342,0,0,0,0,0,0,0
28,8,2,205.90505224443018,0,0,0,0,0,0,0
29,14,0,103.20302950424824,0,0,0,0,0,0,0
30,5,1,107.00098779393494,0,0,0,0,0,0,0
31,2,0,112.96337544917827,0,0,0,0,0,0,0
32,4,14,105.44069495388466,0,0,0,0,0,0,0
33,8,13,167.16161510292488,0,0,0,0,0,0,0
34,7,12,184.34908780436382,0,0,0,0,0,0,0
35,15,11,109.14502424847059,0,0,0,0,0,0,0
36,5,15,223.8291501801427,0,0,0,0,0,0,0
37,2,1,119.34295582441541,0,0,0,0,0,0,0
38,14,1,205.6344970107007,0,0,0,0,0,0,0
39,6,4,194.57430032896747,0,0,0,0,0,0,0
