tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,15,3,181.45845359037014,0,0,0,0,0,0,0
1,2,21,156.3498843844156,0,0,0,0,0,0,0
2,9,15,151.46008043817736,0,0,0,0,0,0,0
3,13,11,206.6633990923529,0,0,0,0,0,0,0
4,1,23,135.52338127328926,0,0,0,0,0,0,0
5,7,16,143.70550046237918,0,0,0,0,0,0,0
6,2,20,100.78190914859549,0,0,0,0,0,0,0
7,23,0,200.01360784480718,0,0,0,0,0,0,0
8,20,16,144.58364036929825,0,0,0,0,0,0,0
9,17,0,147.8176005684508,0,0,0,0,0,0,0
