LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1975,0,0,0,0,0
1,0,2,1467,0,0,0,0,0
2,0,3,1901,0,0,0,0,0
3,0,12,1510,0,0,0,0,0
4,1,3,1393,0,0,0,0,0
5,1,6,1669,0,0,0,0,0
6,1,7,1047,0,0,0,0,0
7,2,12,1187,0,0,0,0,0
8,2,23,1177,0,0,0,0,0
9,3,23,1212,0,0,0,0,0
10,4,5,1735,0,0,0,0,0
11,4,8,1780,0,0,0,0,0
12,4,9,1835,0,0,0,0,0
13,4,13,1059,0,0,0,0,0
14,4,19,1235,0,0,0,0,0
15,4,23,1594,0,0,0,0,0
16,5,9,1001,0,0,0,0,0
17,8,9,1678,0,0,0,0,0
18,9,12,1321,0,0,0,0,0
19,9,13,1658,0,0,0,0,0
20,9,18,1057,0,0,0,0,0
21,9,21,1074,0,0,0,0,0
22,10,11,1811,0,0,0,0,0
23,10,12,1276,0,0,0,0,0
24,11,12,1949,0,0,0,0,0
25,11,22,1959,0,0,0,0,0
26,12,19,1215,0,0,0,0,0
27,12,21,1705,0,0,0,0,0
28,12,23,1428,0,0,0,0,0
29,13,16,1983,0,0,0,0,0
30,13,17,1531,0,0,0,0,0
31,14,20,1186,0,0,0,0,0
32,14,23,1081,0,0,0,0,0
33,15,23,1672,0,0,0,0,0
34,19,20,1803,0,0,0,0,0
35,20,21,1802,0,0,0,0,0
36,20,23,1805,0,0,0,0,0
